compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state
CHSP00005985,392037,Ssh - Erie,252 West 11th Street,Erie,PA,16501,0,,,,
CHSP00006000,392036,Ssh - Laurel Highlands  Inc,"One Mellon Way, 3rd Floor",Latrobe,PA,15650,0,,,,
CHSP00002959,39001F,James E. Van Zandt Veterans Affairs Medical Center,2907 Pleasant Valley Boulevard,Altoona,PA,16602,0,,,,
CHSP00005997,392031,Ssh - Johnstown  Inc.,"320 Main Street, 3rd Floor",Johnstown,PA,15901,0,,,,
CHSP00006022,392044,Ssh - Pittsburgh / Upmc,"200 Lothrop Street, E824",Pittsburgh,PA,15213,0,,,,
CHSP00006005,392045,Ssh - Mckeesport,"1500 Fifth Avenue, 6th Floor",Mckeesport,PA,15132,0,,,,
CHSP00002748,394034,The Horsham Clinic,722 East Butler Pike,Ambler,PA,19002,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00001790,390312,Eastern Regional Medical Center,1331 East Wyoming Avenue,Philadelphia,PA,19124,0,,,,
CHSP00003505,392048,Lifecare Hospitals Of Chester County,400 East Marshall Street,West Chester,PA,19380,0,,,,
CHSP00001804,390307,Edgewood Surgical Hospital,239 Edgewood Drive Extension,Transfer,PA,16154,0,,,,
CHSP00007167,390073,Altoona Regional Health System,620 Howard Avenue,Altoona,PA,16601,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00005056,393053,Penn State Hershey Rehabilitation Ll,1135 Old West Chocolate Avenue,Hummelstown,PA,17036,0,,,,
CHSP00002654,390036,Heritage Valley Beaver,1000 Dutch Ridge Road,Beaver,PA,15009,1,HSI00000476,Heritage Valley Health System,Beaver,PA
CHSP00004333,390268,Mount Nittany Medical Center,1800 East Park Avenue,State College,PA,16803,1,HSI00000710,Mount Nittany Health System,State College,PA
CHSP00002381,393039,Healthsouth Nittany Valley Rehabilit,550 West College Avenue,Pleasant Gap,PA,16823,0,,,,
CHSP00000596,390072,Berwick Hospital Center,701 East 16th Street,Berwick,PA,18603,1,HSI00000249,Community Health Systems,Franklin,TN
CHSP00002171,390003,Geisinger Bloomsburg Hospital,549 Fair Street,Bloomsburg,PA,17815,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00001668,,Devereux Children's Behavioral Health Center,655 Sugartown Road,Malvern,PA,19355,0,,,,
CHSP00000691,390118,Bradford Regional Medical Center,116 Interstate Parkway,Bradford,PA,16701,1,HSI00000537,Kaleida Health,Buffalo,NY
CHSP00003619,390070,Lower Bucks Hospital,501 Bath Road,Bristol,PA,19007,1,HSI00000845,Prime Healthcare Services,Ontario,CA
CHSP00005045,391312,Brookville Hospital,100 Hospital Road,Brookville,PA,15825,1,HSI00000819,Penn Highlands Healthcare,Du Bois,PA
CHSP00000756,390139,Bryn Mawr Hospital,130 South Bryn Mawr Avenue,Bryn Mawr,PA,19010,1,HSI00000608,Main Line Health,Bryn Mawr,PA
CHSP00000774,390168,Butler Memorial Hospital,1 Hospital Way,Butler,PA,16001,1,HSI00000146,Butler Health System,Butler,PA
CHSP00006728,390321,Coordinated Hospital Of Allentown,1503 North Cedar Crest Boulevard,Allentown,PA,18104,0,,,,
CHSP00005059,394051,Pennsylvania Psychiatric Institute,2501 North Third Street,Harrisburg,PA,17110,0,HSI00001126,UPMC,Pittsburgh,PA
CHSP00003401,393054,Lancaster Rehabilitation Hospital,675 Good Drive,Lancaster,PA,17601,0,HSI00000820,University of Pennsylvania Health System,Philadelphia,PA
CHSP00006727,390316,Surgical Institute Of Reading,2752 Century Boulevard,Wyomissing,PA,19610,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00002249,392050,Good Shepherd Penn Partners,1800 Lombard Street,Philadelphia,PA,19146,0,,,,
CHSP00005616,390322,Rothman Orthopaedic Specialty Hospi,3300 Tillman Drive,Bensalem,PA,19020,0,,,,
CHSP00005619,394050,Roxbury Psychiatric Hospital,601 Roxbury Road,Shippensburg,PA,17257,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00002726,390004,Holy Spirit Hospital,503 North 21st Street,Camp Hill,PA,17011,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00006642,,State Correctional Institution At Camp Hill,2500 Lisburn Road,Camp Hill,PA,17011,0,,,,
CHSP00000900,390160,Canonsburg General Hospital,100 Medical Boulevard,Canonsburg,PA,15317,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00000950,390058,Carlisle Regional Medical Center,361 Alexander Spring Road,Carlisle,PA,17015,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00001098,390151,The Chambersburg Hospital,112 North Seventh Street,Chambersburg,PA,17201,1,HSI00001045,Summit Health,Chambersburg,PA
CHSP00004272,390147,Monongahela Valley Hospital  Inc.,1163 Country Club Road,Monongahela,PA,15063,1,,,,
CHSP00001554,390180,Crozer Chester Medical Center,One Medical Center Boulevard,Upland,PA,19013,1,HSI00000851,Prospect Medical Holdings,Los Angeles,CA
CHSP00001249,394012,Clarks Summit State  Hospital,1451 Hillside Drive,Clarks Summit,PA,18411,0,,,,
CHSP00005046,390052,Clearfield Hospital,809 Turnpike Avenue,Clearfield,PA,16830,1,HSI00000819,Penn Highlands Healthcare,Du Bois,PA
CHSP00006532,390183,Miners Memorial Medical Center,360 West Ruddle Street,Coaldale,PA,18218,1,HSI00000936,Saint Lukes University Health Network,Bethlehem,PA
CHSP00005099,390324,Physicians Care Surgical Hospital,454 Enterprise Drive,Royersford,PA,19468,0,,,,
CHSP00006531,390326,St Luke Hospital Anderson Campus,1872 Riverside Circle,Easton,PA,18045,1,HSI00000936,Saint Lukes University Health Network,Bethlehem,PA
CHSP00000695,390076,Brandywine Hospital,201 Reeceville Road,Coatesville,PA,19320,1,HSI00000866,Tower Health,West Reading,PA
CHSP00001291,39004F,Coatesville Veterans Affairs Medical Center,1400 Black Horse Hill Road,Coatesville,PA,19320,0,,,,
CHSP00002544,394052,Haven Behavioral Svcs Of Reading Llc,"145 North 6th Street, 3rd Floor",Reading,PA,19601,0,,,,
CHSP00004727,390325,Oss  Orthopaedic Hospital,1861 Powder Mill Road,York,PA,17402,0,,,,
CHSP00002675,390184,Highlands Hospital,401 East Murphy Avenue,Connellsville,PA,15425,1,,,,
CHSP00007898,390302,Bariatric Care Ctr Of Pennsylvania,280 Middletown Boulevard,Langhorne,PA,19047,0,,,,
CHSP00000074,390323,Advanced Surgical Hospital,100 Trich Drive Suite 1,Washington,PA,15301,0,,,,
CHSP00008131,394007,Kirkbride Center,111 North 49th Street,Philadelphia,PA,19139,0,,,,
CHSP00001492,391308,Corry Memorial Hospital,965 Shamrock Lane,Corry,PA,16407,1,HSI00000686,Lecom Health,Erie,PA
CHSP00001815,390329,Einstein Medical Center Montgomery,559 West Germantown Pike,East Norriton,PA,19403,1,HSI00000020,Albert Einstein Healthcare Network,Philadelphia,PA
CHSP00001452,390314,Coordinated Health Orthopedic Hosp,2310 Highland Avenue,Bethlehem,PA,18020,0,,,,
CHSP00007169,390328,Upmc East Hospital,2775 Mosside Boulevard,Monroeville,PA,15146,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00001300,391313,Charles Cole Memorial Hospital,1001 East Second Street,Coudersport,PA,16915,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002621,393056,Helen M. Simpson Rehabilitation Hosp,4300 Londonderry Road,Harrisburg,PA,17109,0,,,,
CHSP00001598,394004,Danville State,200 State Hospital Drive,Danville,PA,17821,0,,,,
CHSP00002168,390006,Geisinger Medical Center,100 North Academy Avenue,Danville,PA,17822,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00008318,390330,St. Lukes Hospital - Monroe Campus,100 St. Luke's Lane,Stroudsburg,PA,18360,1,HSI00000936,Saint Lukes University Health Network,Bethlehem,PA
CHSP00008202,392025,Post Acute Medical At Nanticoke,"575 North River Street, 7th Floor",Wilkes Barre,PA,18702,0,,,,
CHSP00003982,390156,Mercy Catholic Medical Center,1500 Lansdowne Avenue,Darby,PA,19023,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00008066,394053,Haven Behavioral Hosp- Philadelphia,Four Falls Building,Philadelphia,PA,19129,0,,,,
CHSP00008248,,Reading Hospital Rehabilitation At Wyomissing,2802 Papermill Road,Wyomissing,PA,19610,0,HSI00000866,Tower Health,West Reading,PA
CHSP00008320,393055,St. Mary Rehabilitation Hospital,1201 Langhorne Newtown Road,Langhorne,PA,19047,0,,,,
CHSP00006475,,St. John Vianney Hospital,151 Woodbine Road,Downingtown,PA,19335,0,,,,
CHSP00001718,390203,Doylestown Hospital,595 West State Street,Doylestown,PA,18901,1,HSI00000320,Doylestown Hospital,Doylestown,PA
CHSP00001646,390081,Delaware County Memorial Hospital,501 North Lansdowne Avenue,Drexel Hill,PA,19026,1,HSI00000851,Prospect Medical Holdings,Los Angeles,CA
CHSP00005047,390086,Dubois Regional Medical Center,100 Hospital Avenue,Dubois,PA,15801,1,HSI00000819,Penn Highlands Healthcare,Du Bois,PA
CHSP00001744,390278,Eagleville Hospital,100 Eagleville Road,Eagleville,PA,19403,0,,,,
CHSP00001796,390162,Easton Hospital,250 South 21st Street,Easton,PA,18042,1,HSI00001037,Steward Health Care System,Dallas,TX
CHSP00005166,390201,Pocono Medical Center,206 East Brown Street,East Stroudsburg,PA,18301,1,HSI00000577,Lehigh Valley Health Network,Allentown,PA
CHSP00003554,,Livengrin Foundation,4833 Hulmeville Road,Bensalem,PA,19020,0,,,,
CHSP00005057,390256,Milton S. Hershey Medical Center,500 University Drive,Hershey,PA,17033,1,HSI00000821,Penn State Milton S Hershey Medical Center,Hershey,PA
CHSP00001842,390008,Ellwood City Medical Center,724 Pershing Street,Ellwood City,PA,16117,1,,,,
CHSP00007610,390225,Ephrata Community Hospital,169 Martin Avenue,Ephrata,PA,17522,1,HSI00001243,Wellspan Health,York,PA
CHSP00007170,390063,Upmc Hamot,201 State Street,Erie,PA,16550,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002413,393046,Healthsouth Rehabilitation Hospital,143 East Second Street,Erie,PA,16507,0,,,,
CHSP00005786,390009,Saint Vincent Hospital,232 West 25th Street,Erie,PA,16544,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00004203,390198,Millcreek Community Hospital,5515 Peach Street,Erie,PA,16509,1,HSI00000686,Lecom Health,Erie,PA
CHSP00001878,39005F,Erie Veterans Affairs Medical Center,135 East 38th Street,Erie,PA,16504,0,,,,
CHSP00007168,390117,Upmc Bedford Memorial Hospital,10455 Lincoln Highway,Everett,PA,15537,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007390,390272,Valley Forge Medical Center,1033 West Germantown Pike,Norristown,PA,19403,0,,,,
CHSP00007611,390065,The Gettysburg Hospital,147 Gettys Street,Gettysburg,PA,17325,1,HSI00001243,Wellspan Health,York,PA
CHSP00001916,390145,Westmoreland Regional  Hospital,532 West Pittsburgh Street,Greensburg,PA,15601,1,HSI00000354,Excela Health,Greensburg,PA
CHSP00002335,390266,Grove City Medical Center,631 North Broad Street Extension,Grove City,PA,16127,1,,,,
CHSP00002499,390233,Upmc Pinnacle Hanover,300 Highland Avenue,Hanover,PA,17331,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002374,393027,Healthsouth Harmarville Rehabilitati,320 Guys Run Road,Pittsburgh,PA,15238,0,,,,
CHSP00003473,390185,Lehigh Valley Hospital-Hazleton,700 East Broad Street,Hazleton,PA,18201,1,HSI00000577,Lehigh Valley Health Network,Allentown,PA
CHSP00002985,390265,Jefferson Regional Medical Center,565 Coal Valley Road,Jefferson Hills,PA,15025,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00007589,390125,Wayne Memorial Hospital,601 Park Street,Honesdale,PA,18431,1,,,,
CHSP00002925,390056,Jc Blair Memorial Hospital,1225 Warm Springs Avenue,Huntingdon,PA,16652,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002862,390173,Indiana Regional Medical Center,835 Hospital Road,Indiana,PA,15701,1,HSI00001324,Indiana Regional Medical Center,Indiana,PA
CHSP00003000,391300,Jersey Shore Hospital,1020 Thompson Street,Jersey Shore,PA,17740,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00003105,390104,Upmc Kane,4372 Route 6,Kane,PA,16735,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00000003,390163,Armstrong County Memorial,One Nolte Drive,Kittanning,PA,16201,1,HSI00000051,Armstrong County Memorial Hospital,Kittanning,PA
CHSP00003399,390100,Lancaster General Hospital,555 North Duke Street,Lancaster,PA,17602,1,HSI00000820,University of Pennsylvania Health System,Philadelphia,PA
CHSP00006554,390258,St. Mary Medical Center,1201 Langhorne-Newtown Road,Langhorne,PA,19047,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00003400,390061,Lancaster Regional Medical Center,250 College Avenue,Lancaster,PA,17603,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00000033,390012,Lansdale Hospital,100 Medical Campus Drive,Lansdale,PA,19446,1,HSI00000048,Jefferson Health,Radnor,PA
CHSP00001917,390219,Latrobe Area Hospital,One Mellon Way,Latrobe,PA,15650,1,HSI00000354,Excela Health,Greensburg,PA
CHSP00005084,394020,Philhaven,283 South Butler Road,Mount Gretna,PA,17064,0,HSI00001243,Wellspan Health,York,PA
CHSP00003458,39006F,Lebanon Veterans Affairs Medical Center,1700 South Lincoln Avenue,Lebanon,PA,17042,0,,,,
CHSP00002431,393045,Healthsouth Rehabilitation Hospital,303 Camp Meeting Road,Sewickley,PA,15143,0,,,,
CHSP00000637,390194,Blue Mountain Hospital,211 North 12th Street,Lehighton,PA,18235,1,HSI00000936,Saint Lukes University Health Network,Bethlehem,PA
CHSP00001905,390013,Evangelical Community Hospital,One Hospital Drive,Lewisburg,PA,17837,1,HSI00000352,Evangelical Community Hospital,Lewisburg,PA
CHSP00007114,,U. S. Penitentiary Infirmary,Route 7,Lewisburg,PA,17837,0,,,,
CHSP00002173,390048,Geisinger Lewistown Hospital,400 Highland Avenue,Lewistown,PA,17044,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00003558,390071,Lock Haven Hospital,24 Cree Drive,Lock Haven,PA,17745,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002136,391303,Fulton County Medical Center,214 Peach Orchard Road,Mc Connellsburg,PA,17233,1,,,,
CHSP00007174,390002,Upmc Mckeesport,1500 Fifth Avenue,Mckeesport,PA,15132,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00003848,390113,Meadville Medical Center,751 Liberty Street,Meadville,PA,16335,1,HSI00000639,Meadville Medical Center,Meadville,PA
CHSP00004790,390157,Ohio Valley General Hospital,25 Heckel Road,Mckees Rocks,PA,15136,1,,,,
CHSP00002724,390097,Hospital,1648 Huntingdon Pike,Meadowbrook,PA,19046,1,HSI00000488,Holy Redeemer Health System,Huntingdon Valley,PA
CHSP00002420,393031,Healthsouth Rehabilitation Hospital,175 Lancaster Boulevard,Mechanicsburg,PA,17055,0,,,,
CHSP00005505,390222,Riddle Hospital,1068 West Baltimore Pike,Media,PA,19063,1,HSI00000608,Main Line Health,Bryn Mawr,PA
CHSP00007107,390192,Tyler Memorial Hospital,5950 State Route 6,Tunkhannock,PA,18657,1,HSI00000249,Community Health Systems,Franklin,TN
CHSP00007071,391305,Troy Community Hospital,275 Guthrie Drive,Troy,PA,16947,1,HSI00000430,Guthrie Healthcare System,Sayre,PA
CHSP00001416,391302,Meyersdale Community Hospital,200 Hospital Drive,Meyersdale,PA,15552,1,HSI00000584,Lifepoint Health,Brentwood,TN
CHSP00001866,391306,Endless Mountains Health Systems,100 Hospital Drive,Montrose,PA,18801,1,,,,
CHSP00001915,390217,Frick Hospital,508 South Church Street,Mount Pleasant,PA,15666,1,HSI00000354,Excela Health,Greensburg,PA
CHSP00004378,391301,Muncy Valley Hospital,215 East Water Street,Muncy,PA,17756,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002963,390016,Upmc Jameson,1211 Wilmington Avenue,New Castle,PA,16105,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00003845,394040,The Meadows Hospital,132 The Meadows Drive,Centre Hall,PA,16828,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00004295,394033,Montgomery Cnty Emergency Srv. Inc.,50 Beech Drive,Norristown,PA,19403,0,,,,
CHSP00004535,394001,Norristown State Hospital,1001 Sterigere Street,Norristown,PA,19401,0,,,,
CHSP00006690,390116,Suburban Community Hospital,2701 Dekalb Pike,Norristown,PA,19401,1,HSI00000845,Prime Healthcare Services,Ontario,CA
CHSP00001816,390142,Albert Einstein Medical Center,5501 Old York Road,Philadelphia,PA,19141,1,HSI00000020,Albert Einstein Healthcare Network,Philadelphia,PA
CHSP00002081,390196,American Oncologic Hospial,333 Cottman Avenue,Philadelphia,PA,19111,0,HSI00001065,Temple University Health System,Philadelphia,PA
CHSP00001125,390026,Chestnut Hill Hospital,8835 Germantown Avenue,Philadelphia,PA,19118,1,HSI00000866,Tower Health,West Reading,PA
CHSP00001149,393303,The Childrens Hospital Of Philadelp,3401 Civic Center Boulevard,Philadelphia,PA,19104,1,HSI00001075,The Childrens Hospital of Philadelphia,Philadelphia,PA
CHSP00001937,394027,Fairmount Hospital,561 Fairthorne Avenue,Philadelphia,PA,19128,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00002128,394008,Friends Behavioral Health System,4641 Roosevelt Boulevard,Philadelphia,PA,19124,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00002472,390290,Hahnemann University Hospital,230 North Broad Street,Philadelphia,PA,19102,1,HSI00001278,American Academic Health System,El Segundo,CA
CHSP00002791,390111,Hospital Of The Univ Of Penna,3400 Spruce Street,Philadelphia,PA,19104,1,HSI00000820,University of Pennsylvania Health System,Philadelphia,PA
CHSP00002972,390080,Jeanes Hospital,7600 Central Avenue,Philadelphia,PA,19111,1,HSI00001065,Temple University Health System,Philadelphia,PA
CHSP00003145,390025,Kensington Hospital,136 West Diamond Street,Philadelphia,PA,19122,1,,,,
CHSP00003416,390195,Lankenau Medical Center,100 Lancaster Avenue West,Wynnewood,PA,19096,1,HSI00000608,Main Line Health,Bryn Mawr,PA
CHSP00003667,393038,Magee Rehabilitation Hospital,1513 Race Street,Philadelphia,PA,19102,0,HSI00000048,Jefferson Health,Radnor,PA
CHSP00005618,390304,Roxborough Memorial Hospital,5800 Ridge Avenue,Philadelphia,PA,19128,1,HSI00000845,Prime Healthcare Services,Ontario,CA
CHSP00004445,390204,Nazareth Hospital-Phila  Pa,2601 Holme Avenue,Philadelphia,PA,19152,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00000577,394023,Belmont Behavioral Healthcare,4200 Monument Road,Philadelphia,PA,19131,0,,,,
CHSP00005052,390223,Presbyterian Medical Center,51 North 39th Street,Philadelphia,PA,19104,1,HSI00000820,University of Pennsylvania Health System,Philadelphia,PA
CHSP00003227,392046,Kindred Hospital South Philadelphia,1930 South Broad Street,Philadelphia,PA,19145,0,,,,
CHSP00006424,393307,St Christophers Hospital For Childr,3601 A Street,Philadelphia,PA,19134,1,HSI00001278,American Academic Health System,El Segundo,CA
CHSP00006129,393309,Shriners Hospital For Children,3551 North Broad Street,Philadelphia,PA,19140,0,HSI00000981,Shriners Hospitals for Children,Tampa,FL
CHSP00006817,390027,Temple University Hospital,3401 North Broad Street,Philadelphia,PA,19140,1,HSI00001065,Temple University Health System,Philadelphia,PA
CHSP00005083,39009F,Philadelphia Veterans Affairs Medical Center,3900 Woodland Avenue,Philadelphia,PA,19104,0,,,,
CHSP00000729,394049,Brooke Glen Behavioral Hospital,7170 Lafayette Avenue,Fort Washington,PA,19034,0,HSI00001148,Universal Health Services,Norristown,PA
CHSP00005097,390127,Phoenixville Hospital,140 Nutt Road,Phoenixville,PA,19460,1,HSI00000866,Tower Health,West Reading,PA
CHSP00001150,393302,Childrens Hospital Of Pgh Of Upmc,One Children's Hospital Drive,Pittsburgh,PA,15224,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00006897,393304,The Childrens Home Of Pittsburgh,5324 Penn Avenue,Pittsburgh,PA,15224,1,,,,
CHSP00003668,390114,Magee Womens Hospital Of Upmc,300 Halket Street,Pittsburgh,PA,15213,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00006898,393308,The Childrens Institute,1405 Shady Avenue,Pittsburgh,PA,15217,0,,,,
CHSP00007175,390028,Upmc Mercy Hospital,1400 Locust Street,Pittsburgh,PA,15219,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007178,390107,Upmc Passavant,9100 Babcock Boulevard,Pittsburgh,PA,15237,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00002049,390267,Forbes Regional Hospital,2570 Haymaker Road,Monroeville,PA,15146,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00006425,390228,St. Clair Memorial Hospital,1000 Bower Hill Road,Pittsburgh,PA,15243,1,HSI00000913,Saint Clair Memorial Hospital,Pittsburgh,PA
CHSP00007189,390102,Upmc St Margaret,815 Freeport Road,Pittsburgh,PA,15215,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007664,390090,Western Pennsylvania Hospital,4800 Friendship Avenue,Pittsburgh,PA,15224,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00002170,390270,Geisinger Wyoming Valley Med Ctr,1000 East Mountain Boulevard,Wilkes Barre,PA,18711,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00005205,390123,Pottstown Memorial Medical Center,1600 East High Street,Pottstown,PA,19464,1,HSI00000866,Tower Health,West Reading,PA
CHSP00005909,390031,Lehigh Valley Hospital Schuylkill Ea,700 East Norwegian Street,Pottsville,PA,17901,1,HSI00000577,Lehigh Valley Health Network,Allentown,PA
CHSP00005910,390030,Lehigh Valley Hospital - Schuylkill,420 South Jackson Street,Pottsville,PA,17901,1,HSI00000577,Lehigh Valley Health Network,Allentown,PA
CHSP00005337,390199,Punxsutawney Area Hospital,81 Hillcrest Drive,Punxsutawney,PA,15767,1,,,,
CHSP00006533,390035,Quakertown Community Hospital,1021 Park Avenue,Quakertown,PA,18951,1,HSI00000936,Saint Lukes University Health Network,Bethlehem,PA
CHSP00002384,393026,Healthsouth Reading Rehabilitation H,1623 Morgantown Road,Reading,PA,19607,0,,,,
CHSP00000761,391304,Bucktail Medical Center,1001 Pine Street,Renovo,PA,17764,1,,,,
CHSP00004420,390062,Nason Hospital,105 Nason Drive,Roaring Spring,PA,16673,1,HSI00000584,Lifepoint Health,Brentwood,TN
CHSP00001255,,Huntington Creek Recovery Center,890 Bethel Road,Shickshinny,PA,18655,0,,,,
CHSP00005049,391315,Penn Highlands Elk,763 Johnsonburg Road,Saint Marys,PA,15857,1,HSI00000819,Penn Highlands Healthcare,Du Bois,PA
CHSP00005569,390079,Robert Packer Hospital,1 Guthrie Square,Sayre,PA,18840,1,HSI00000430,Guthrie Healthcare System,Sayre,PA
CHSP00000155,393030,Allied Services Rehab. Hospt.,475 Morgan Highway,Scranton,PA,18508,0,,,,
CHSP00002172,390001,Community Medical Center,1800 Mulberry Street,Scranton,PA,18510,1,HSI00000388,Geisinger Health System,Danville,PA
CHSP00005434,390237,Regional Hospital Of Scranton,746 Jefferson Avenue,Scranton,PA,18510,1,HSI00000249,Community Health Systems,Franklin,TN
CHSP00004323,390119,Moses Taylor Hospital,700 Quincy Avenue,Scranton,PA,18510,1,HSI00000249,Community Health Systems,Franklin,TN
CHSP00002285,390057,Grand View Hospital,700 Lawn Avenue,Sellersville,PA,18960,1,HSI00000415,Grand View Hospital,Sellersville,PA
CHSP00002655,390037,Heritage Valley Sewickley,720 Blackburn Road,Sewickley,PA,15143,1,HSI00000476,Heritage Valley Health System,Beaver,PA
CHSP00006087,390211,Sharon Regional Health System,740 East State Street,Sharon,PA,16146,1,HSI00001037,Steward Health Care System,Dallas,TX
CHSP00006193,390039,Somerset Hospital,225 South Center Avenue,Somerset,PA,15501,1,,,,
CHSP00001417,390130,Miners Hospital,290 Haida Avenue,Hastings,PA,16646,1,HSI00000584,Lifepoint Health,Brentwood,TN
CHSP00006714,390084,Sunbury Community Hospital,350 North Eleventh Street,Sunbury,PA,17801,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00000440,391309,Barnes-Kasson County Hospital,2872 Turnpike Street,Susquehanna,PA,18847,1,,,,
CHSP00000131,390032,Alle-Kiski Medical Center,1301 Carlisle Street,Natrona Heights,PA,15065,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA
CHSP00007011,391314,Titusville Area Hospital,406 West Oak Street,Titusville,PA,16354,1,HSI00000639,Meadville Medical Center,Meadville,PA
CHSP00007018,394026,Torrance State,Torrance Road,Torrance,PA,15779,0,,,,
CHSP00002358,390236,Guthrie Towanda Memorial Hospital,91 Hospital Drive,Towanda,PA,18848,1,HSI00000430,Guthrie Healthcare System,Sayre,PA
CHSP00007108,391307,Tyrone Hospital,187 Hospital Drive,Tyrone,PA,16686,1,,,,
CHSP00007219,390041,Uniontown Hospital,500 West Berkeley Street,Uniontown,PA,15401,1,,,,
CHSP00007556,390146,Warren General Hospital,Two Crescent Park West,Warren,PA,16365,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007558,394016,Warren State Hospital,33 Main Drive,Warren,PA,16365,0,,,,
CHSP00007571,390042,The Washington Hospital,155 Wilson Avenue,Washington,PA,15301,1,HSI00001238,Washington Health System,Washington,PA
CHSP00007592,390138,Waynesboro Hospital,501 East Main Street,Waynesboro,PA,17268,1,HSI00001045,Summit Health,Chambersburg,PA
CHSP00007570,390150,Whs - Greene,350 Bonar Avenue,Waynesburg,PA,15370,1,HSI00001238,Washington Health System,Washington,PA
CHSP00006190,390043,Upmc Susquehanna Soldiers + Sailors,32-36 Central Avenue,Wellsboro,PA,16901,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007631,394014,Wernersville State Hospital,160 Main Street,Wernersville,PA,19565,0,,,,
CHSP00005051,390179,The Chester County Hospital,701 East Marshall Street,West Chester,PA,19380,1,HSI00000820,University of Pennsylvania Health System,Philadelphia,PA
CHSP00004950,390153,Paoli Hospital,255 West Lancaster Avenue,Paoli,PA,19301,1,HSI00000608,Main Line Health,Bryn Mawr,PA
CHSP00003016,393036,John Heinz Instit. Of Rehab Medicin,150 Mundy Street,Wilkes-Barre,PA,18702,0,,,,
CHSP00002991,390220,Jennersville Regional Hospital,1015 West Baltimore Pike,West Grove,PA,19390,1,HSI00000866,Tower Health,West Reading,PA
CHSP00005390,390044,Reading Hospital And Medical Center,Sixth Avenue And Spruce Street,West Reading,PA,19611,1,HSI00000866,Tower Health,West Reading,PA
CHSP00007734,39013F,Wilkes-Barre Veterans Affairs Medical Center,1111 East End Boulevard,Wilkes-Barre,PA,18711,0,,,,
CHSP00003510,392024,Lifecare Hospitals Of Pittsburgh,225 Penn Avenue,Pittsburgh,PA,15221,0,,,,
CHSP00001681,394048,Divine Providence Hospital,1100 Grampian Boulevard,Williamsport,PA,17701,0,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007748,390045,Williamsport Hospital & Medical Ctr,700 High Street,Williamsport,PA,17701,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00001099,390112,Windber Medical Center,600 Somerset Avenue,Windber,PA,15963,1,,,,
CHSP00006321,,Southwood Psychiatric Hospital,2575 Boyce Plaza Road,Pittsburgh,PA,15241,0,,,,
CHSP00003920,390101,Memorial Hospital,325 South Belmont Street,York,PA,17403,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00007613,390046,York Hospital,1001 South George Street,York,PA,17403,1,HSI00001243,Wellspan Health,York,PA
