Facility Name,Region,County,Modified Date,Time ,COVID-19 Patients in Acute Care Beds,COVID-19 Patients in ICU,Ventilators Available,Ventilators in Use,Physical Adult ICU Beds,Staffed Adult ICU Beds,Occupied Adult ICU Beds,Physical Pediatric ICU Beds,Staffed Pediatric ICU Beds,Occupied Pediatric ICU Beds,Physical Adult Acute Care Beds,Staffed Adult Acute Care Beds,Occupied Adult Acute Care Beds,Physical Pediatric Acute Care Beds,Staffed Pediatric Acute Care Beds,Occupied Pediatric Acute Care Beds,Patients in the ED,Have you expanded into non traditional spaces?,"If you have expanded, how many beds have you added?",Indicator of Clinical Staff Absenteeism,ECMO Adult Machines,ECMO Peds/Neonate Machines,Patients Under Investigation
Franklin Square (MedStar),Region III,Baltimore County,11/28/20,09:58:00,59,15,22,17,42,42,39,0,0,0,278,278,259,0,0,0,49,No,null,1,0,0,32
Franklin Square (MedStar),Region III,Baltimore County,11/29/20,10:04:00,62,14,24,15,42,42,39,0,0,0,278,278,264,0,0,0,47,No,null,1,0,0,46
Franklin Square (MedStar),Region III,Baltimore County,11/30/20,10:05:00,62,17,27,12,42,42,38,0,0,0,278,278,270,0,0,0,28,No,null,1,0,0,39
Frederick Memorial Hospital,Region II,Frederick County,3/25/20,,0,0,47,null,36,36,13,0,0,0,259,259,120,5,5,0,34,Yes,59,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,3/26/20,,0,0,47,null,36,36,15,0,0,0,259,259,122,5,5,0,17,Yes,59,3,0,0,
Frederick Memorial Hospital,Region II,Frederick County,3/27/20,,0,2,47,null,36,36,18,0,0,0,259,259,128,5,5,0,12,Yes,59,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,3/28/20,,0,3,47,null,36,36,21,0,0,0,259,259,128,5,5,0,12,Yes,59,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,3/29/20,,4,6,47,null,36,36,20,0,0,0,259,259,116,5,5,0,18,Yes,59,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,3/30/20,,4,6,47,null,36,36,19,0,0,0,259,259,126,5,5,0,12,Yes,59,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,3/31/20,,2,6,47,null,36,36,24,0,0,0,259,124,124,5,5,0,10,Yes,55,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/1/20,1:26:00 PM,null,null,47,null,37,37,19,0,0,0,259,259,104,5,5,5,17,Yes,64,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/2/20,12:34:11 PM,2,7,47,19,37,37,25,0,0,0,259,259,104,5,5,5,13,Yes,66,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/3/20,10:31:39 AM,2,9,47,19,37,37,28,0,0,0,259,259,95,5,5,5,17,Yes,66,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/4/20,1:16:06 PM,4,8,47,17,37,37,21,0,0,0,259,273,99,5,5,5,18,Yes,66,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/5/20,11:50:27 AM,6,8,47,14,37,37,21,0,0,0,259,273,94,5,5,5,11,Yes,66,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/6/20,10:44:20 AM,8,8,47,11,37,37,19,0,0,0,259,259,103,5,5,1,15,Yes,66,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/7/20,1:05:12 PM,9,7,41,11,37,37,16,0,0,0,265,208,110,5,5,0,22,Yes,66,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/8/20,11:59:10 AM,15,12,20,12,49,37,19,0,0,0,265,208,97,5,5,0,12,Yes,66,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/9/20,10:40:03 AM,11,7,20,14,49,37,23,0,0,0,265,208,97,5,5,1,16,Yes,66,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/10/20,1:04:40 AM,10,10,20,14,49,37,22,0,0,0,265,208,91,5,5,1,15,Yes,66,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/11/20,10:11:16,11,10,20,13,49,37,19,0,0,0,265,208,88,5,5,0,15,No,0,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/12/20,10:43:05,10,10,20,13,49,37,19,0,0,0,265,208,88,5,5,0,17,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/13/20,2:22:32 PM,12,10,20,17,49,37,20,0,0,0,265,208,93,5,5,0,19,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/14/20,10:20:58 AM,12,12,20,15,49,37,23,0,0,0,265,208,104,5,5,0,10,No,0,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/15/20,10:15:50,13,12,20,13,49,37,23,0,0,0,265,208,103,5,5,1,14,No,0,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/16/20,12:11:46,13,11,20,12,49,37,21,0,0,0,265,208,104,5,5,2,14,No,0,3,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/17/20,14:10:00,12,12,20,12,49,37,22,0,0,0,265,208,102,5,5,2,15,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/18/20,11:57:00,14,11,20,17,49,37,22,0,0,0,265,208,108,5,5,2,12,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/19/20,13:59:00,17,11,20,19,49,37,24,0,0,0,265,208,108,5,5,3,11,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/20/20,11:33:00,19,12,20,15,49,37,25,0,0,0,265,208,113,5,5,3,21,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/21/20,13:58:00,14,14,20,13,49,37,28,0,0,0,265,208,118,5,5,2,15,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/22/20,12:11:00,12,12,24,15,49,37,23,0,0,0,265,208,126,5,5,0,21,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/23/20,13:02:00,13,11,24,16,49,37,25,0,0,0,265,208,126,5,5,1,18,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/24/20,13:57:00,20,9,24,12,49,37,24,0,0,0,265,208,135,5,5,0,15,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/25/20,14:17:00,16,9,24,12,49,37,24,0,0,0,265,208,127,5,5,0,11,No,0,null,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/26/20,11:15:00,16,10,24,9,49,37,21,0,0,0,265,208,127,5,5,0,13,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/27/20,12:41:00,15,11,24,13,49,37,24,0,0,0,265,208,120,5,5,0,16,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/28/20,12:27:00,21,9,24,10,49,37,18,0,0,0,265,208,130,5,5,0,8,No,0,3,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/29/20,10:43:00,29,8,24,13,49,37,21,0,0,0,265,208,123,5,5,0,21,No,0,3,0,0,
Frederick Memorial Hospital,Region II,Frederick County,4/30/20,12:57:00,28,5,24,13,49,37,21,0,0,0,265,208,120,5,5,0,12,No,0,3,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/1/20,10:46:00,23,5,24,10,49,37,22,0,0,0,265,208,119,5,5,0,18,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/2/20,13:03:00,20,9,24,14,49,37,22,0,0,0,265,208,126,5,5,0,21,No,0,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/3/20,13:22:00,21,9,24,10,49,37,22,0,0,0,265,208,127,5,5,0,25,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/4/20,13:20:00,20,12,24,11,49,37,22,0,0,0,265,208,142,5,5,0,36,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/5/20,14:08:00,19,13,24,9,49,37,28,0,0,0,265,208,132,5,5,2,17,No,0,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/6/20,13:46:00,19,15,24,9,49,37,26,0,0,0,265,208,145,5,5,0,20,No,0,1,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/7/20,14:05:00,20,14,24,10,49,37,23,0,0,0,265,208,137,5,5,1,22,No,0,2,0,0,
Frederick Memorial Hospital,Region II,Frederick County,5/8/20,13:21:00,26,11,24,12,49,37,26,0,0,0,265,208,126,5,5,1,15,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,5/9/20,14:42:00,25,10,24,10,49,37,26,0,0,0,265,208,116,5,5,1,19,No,0,2,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/10/20,13:51:00,24,9,24,10,49,37,18,0,0,0,265,208,130,5,5,2,23,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,5/11/20,11:35:00,23,9,24,11,49,37,21,0,0,0,265,208,132,5,5,2,26,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,5/12/20,16:03:00,20,10,24,11,49,37,20,0,0,0,265,208,141,5,5,1,23,No,0,2,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,5/13/20,14:04:00,15,11,24,12,49,37,23,0,0,0,265,208,133,5,5,1,9,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,5/14/20,11:44:00,19,10,24,9,37,37,17,0,0,0,265,208,124,5,5,1,21,No,0,2,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,5/15/20,10:34:00,20,9,24,8,37,37,14,0,0,0,265,208,127,5,5,1,17,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/16/20,14:12:00,18,8,24,7,37,37,15,0,0,0,265,208,132,5,5,1,9,No,0,2,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,5/17/20,14:28:00,21,9,24,7,37,37,19,0,0,0,265,208,137,5,5,1,25,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,5/18/20,12:39:00,23,9,24,7,31,31,19,0,0,0,265,208,132,5,5,1,33,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/19/20,10:17:00,18,10,24,7,31,31,26,0,0,0,265,208,141,5,5,0,28,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,5/20/20,11:27:00,16,11,24,8,31,31,27,0,0,0,265,208,152,5,5,1,22,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/21/20,11:40:00,21,9,24,5,31,31,24,0,0,0,265,208,153,5,5,2,19,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/22/20,11:00:00,20,11,24,10,31,31,23,0,0,0,265,208,153,5,5,1,17,No,0,2,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,5/23/20,13:06:00,17,11,24,9,31,31,22,0,0,0,265,208,163,5,5,1,17,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,5/24/20,10:00:00,14,11,24,8,31,31,22,0,0,0,265,208,157,5,5,0,16,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,5/25/20,10:14:00,12,10,24,7,31,31,24,0,0,0,265,208,145,5,5,0,14,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/26/20,10:32:00,14,10,24,8,31,31,24,0,0,0,265,208,158,5,5,0,30,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,5/27/20,10:00:00,12,10,24,8,31,31,26,0,0,0,265,208,177,5,5,1,14,No,0,1,0,0,10
Frederick Memorial Hospital,Region II,Frederick County,5/28/20,13:14:00,12,9,24,8,31,31,22,0,0,0,265,208,169,5,5,2,26,No,0,2,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/29/20,14:15:00,15,9,24,9,31,31,22,0,0,0,265,208,178,5,5,1,17,No,0,2,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,5/30/20,10:31:00,15,9,24,11,31,31,21,0,0,0,265,208,152,5,5,0,22,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,5/31/20,11:45:00,11,8,24,10,31,31,23,0,0,0,265,208,145,5,5,0,10,No,0,1,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,6/1/20,10:13:00,12,7,24,10,31,31,23,0,0,0,265,208,147,5,5,0,25,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/2/20,11:35:00,13,5,24,8,31,31,18,0,0,0,265,208,167,5,5,0,16,No,0,2,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,6/3/20,10:45:00,13,5,24,9,31,31,15,0,0,0,265,208,172,5,5,0,13,No,0,2,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,6/4/20,09:53:00,8,4,24,8,31,31,12,0,0,0,265,208,147,5,5,0,26,No,0,2,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,6/5/20,11:57:00,8,5,24,6,31,31,14,0,0,0,265,208,129,5,5,0,31,No,0,2,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/6/20,11:03:00,9,6,24,8,31,31,16,0,0,0,265,208,133,5,5,0,21,No,0,3,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,6/7/20,11:25:00,6,6,24,5,31,31,17,0,0,0,265,208,138,5,5,0,22,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/8/20,12:48:00,9,6,24,4,31,31,17,0,0,0,265,208,140,5,5,2,39,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,6/9/20,10:01:00,8,6,24,5,31,31,16,0,0,0,265,208,139,5,5,2,29,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,6/10/20,10:45:00,7,5,24,5,31,31,16,0,0,0,255,208,132,5,5,0,24,No,0,2,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/11/20,11:53:00,8,3,24,7,31,31,14,0,0,0,255,208,147,5,5,0,33,No,0,2,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/12/20,11:32:00,10,2,24,6,31,31,11,0,0,0,255,208,150,5,5,1,24,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/13/20,10:15:00,8,2,24,4,31,31,10,0,0,0,255,208,154,5,5,0,25,No,0,1,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,6/14/20,11:50:00,10,1,24,2,31,31,7,0,0,0,255,208,146,5,5,0,25,No,0,1,0,0,0
Frederick Memorial Hospital,Region II,Frederick County,6/15/20,10:51:00,10,0,24,2,31,31,8,0,0,0,255,208,156,5,5,0,30,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/16/20,11:41:00,10,1,24,3,31,31,13,0,0,0,255,208,151,5,5,0,36,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/17/20,13:21:00,9,1,24,2,18,18,14,0,0,0,255,208,146,5,5,1,15,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/18/20,10:29:00,8,1,24,1,18,18,10,0,0,0,220,220,153,5,5,1,15,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/19/20,11:49:00,7,1,24,1,18,18,9,0,0,0,220,220,139,5,5,2,21,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/20/20,10:29:00,10,1,24,1,18,18,11,0,0,0,220,220,133,5,5,0,15,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/21/20,11:31:00,7,1,24,2,18,18,7,0,0,0,220,220,124,5,5,0,37,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,6/22/20,10:38:00,7,1,24,2,18,18,8,0,0,0,220,220,141,5,5,0,27,No,0,1,0,0,9
Frederick Memorial Hospital,Region II,Frederick County,6/23/20,09:54:00,4,1,24,1,18,18,10,0,0,0,220,220,155,5,5,0,24,No,0,1,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,6/24/20,10:12:00,5,1,24,1,18,18,7,0,0,0,220,220,163,5,5,0,22,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,6/25/20,11:39:00,6,0,24,1,18,18,6,0,0,0,220,220,166,5,5,0,22,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,6/26/20,10:10:00,5,0,24,0,18,18,7,0,0,0,220,220,157,5,5,1,19,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,6/27/20,11:14:00,5,0,24,2,18,18,9,0,0,0,220,220,149,5,5,0,29,No,0,1,0,0,0
Frederick Memorial Hospital,Region II,Frederick County,6/28/20,12:01:00,6,0,24,2,18,18,7,0,0,0,220,220,132,5,5,1,27,No,0,1,0,0,0
Frederick Memorial Hospital,Region II,Frederick County,6/29/20,09:52:00,7,0,24,3,18,18,8,0,0,0,220,220,134,5,5,0,22,No,0,2,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,6/30/20,09:59:00,7,0,24,3,18,18,12,0,0,0,220,220,145,5,5,0,23,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,7/1/20,10:27:00,6,0,24,3,18,18,8,0,0,0,220,220,138,5,5,0,23,No,0,1,0,0,0
Frederick Memorial Hospital,Region II,Frederick County,7/2/20,10:12:00,4,0,24,3,18,18,9,0,0,0,220,220,132,5,5,0,22,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/3/20,11:29:00,5,0,24,4,18,18,7,0,0,0,220,220,120,5,5,0,27,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/4/20,10:16:00,4,0,24,4,18,18,7,0,0,0,220,220,109,5,5,3,11,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/5/20,09:52:00,5,0,24,2,18,18,10,0,0,0,220,220,98,5,5,1,24,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/6/20,10:40:00,3,0,24,2,18,18,7,0,0,0,220,220,108,5,5,1,39,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,7/7/20,10:14:00,2,0,24,2,18,18,9,0,0,0,220,220,119,5,5,0,26,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,7/8/20,09:37:00,2,0,24,2,18,18,7,0,0,0,220,220,127,5,5,0,18,No,0,1,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,7/9/20,09:12:00,3,1,24,1,18,18,8,0,0,0,220,220,137,5,5,0,16,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,7/10/20,09:29:00,5,0,24,2,18,18,10,0,0,0,220,220,123,5,5,1,29,No,0,1,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,7/11/20,11:06:00,6,0,24,1,18,18,8,0,0,0,220,220,123,5,5,1,0,No,0,1,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,7/12/20,10:12:00,3,0,24,1,18,18,11,0,0,0,220,220,118,5,5,0,22,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,7/13/20,10:24:00,4,1,24,1,18,18,11,0,0,0,220,220,119,5,5,0,23,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/14/20,09:19:00,3,1,24,1,18,18,8,0,0,0,220,220,140,5,5,0,26,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,7/15/20,10:56:00,3,0,24,2,18,18,13,0,0,0,220,220,131,5,5,0,37,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,7/16/20,10:37:00,6,0,24,4,18,18,12,0,0,0,220,220,133,5,5,0,24,No,0,1,0,0,0
Frederick Memorial Hospital,Region II,Frederick County,7/17/20,11:30:00,6,0,24,1,18,18,12,0,0,0,220,220,109,5,5,0,22,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/18/20,12:45:00,6,1,24,3,18,18,11,0,0,0,220,220,120,5,5,1,21,No,0,1,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,7/19/20,12:20:00,3,1,24,3,18,18,11,0,0,0,220,220,111,5,5,1,42,No,0,2,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,7/20/20,09:29:00,3,1,24,3,18,18,13,0,0,0,220,220,111,5,5,0,18,No,0,1,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,7/21/20,10:10:00,4,1,24,3,18,18,13,0,0,0,220,220,126,5,5,2,9,No,0,2,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,7/22/20,11:21:00,6,1,24,2,18,18,13,0,0,0,220,220,131,5,5,0,34,No,0,1,0,0,8
Frederick Memorial Hospital,Region II,Frederick County,7/23/20,10:13:00,8,1,24,2,18,18,14,0,0,0,220,220,133,5,5,0,26,No,0,1,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,7/24/20,10:21:00,7,2,24,2,18,18,14,0,0,0,220,220,137,5,5,2,23,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,7/25/20,10:11:00,9,3,24,1,18,18,16,0,0,0,220,220,140,5,5,1,24,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,7/26/20,09:59:00,6,3,24,2,18,18,13,0,0,0,220,220,139,5,5,0,21,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,7/27/20,09:46:00,4,3,24,2,18,18,10,0,0,0,220,220,143,5,5,1,27,No,0,2,0,0,6
Frederick Memorial Hospital,Region II,Frederick County,7/28/20,10:35:00,5,2,24,2,18,18,7,0,0,0,220,220,144,5,5,1,18,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,7/29/20,10:12:00,5,2,24,2,18,18,8,0,0,0,220,220,153,5,5,1,19,No,0,1,0,0,10
Frederick Memorial Hospital,Region II,Frederick County,7/30/20,09:32:00,5,2,24,2,18,18,12,0,0,0,220,220,144,5,5,1,21,No,0,1,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,7/31/20,09:26:00,5,3,24,2,18,18,14,0,0,0,220,220,142,5,5,1,24,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,8/1/20,11:17:00,4,3,24,2,18,18,13,0,0,0,220,220,134,5,5,1,28,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,8/2/20,09:45:00,3,3,24,2,18,18,13,0,0,0,220,220,138,5,5,3,19,No,0,1,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,8/3/20,09:32:00,2,3,24,4,18,18,17,0,0,0,220,220,148,5,5,2,27,No,0,1,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,8/4/20,10:12:00,7,2,24,4,18,18,18,0,0,0,220,220,154,5,5,2,27,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/5/20,10:20:00,3,3,24,3,18,18,15,0,0,0,220,220,160,5,5,2,29,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/6/20,10:17:00,4,2,24,3,18,18,17,0,0,0,220,220,170,5,5,3,17,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,8/7/20,11:10:00,5,1,24,5,18,18,13,0,0,0,220,220,156,5,5,1,35,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/8/20,10:30:00,4,1,24,4,18,18,11,0,0,0,220,220,139,5,5,2,25,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/9/20,10:52:00,6,1,24,8,18,18,11,0,0,0,220,220,137,5,5,2,29,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,8/10/20,09:43:00,5,1,24,6,18,18,14,0,0,0,220,220,140,5,5,0,15,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/11/20,10:57:00,6,1,24,5,18,18,12,0,0,0,220,220,140,5,5,0,21,No,0,1,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,8/12/20,10:27:00,6,1,24,3,18,18,10,0,0,0,220,220,143,5,5,0,27,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/13/20,10:41:00,6,0,24,4,18,18,13,0,0,0,220,220,143,5,5,2,24,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,8/14/20,09:44:00,5,0,24,4,18,18,10,0,0,0,220,220,148,5,5,2,30,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/15/20,09:53:00,6,0,24,2,18,18,6,0,0,0,220,220,138,5,5,1,15,No,0,2,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/16/20,10:32:00,5,0,24,3,18,18,6,0,0,0,220,220,133,5,5,0,25,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/17/20,10:56:00,6,0,24,5,18,18,9,0,0,0,220,220,139,5,5,0,16,No,0,1,0,0,7
Frederick Memorial Hospital,Region II,Frederick County,8/18/20,09:57:00,8,0,24,7,18,18,11,0,0,0,220,220,133,5,5,1,26,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,8/19/20,09:59:00,5,1,24,6,18,18,9,0,0,0,220,220,157,5,5,0,23,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,8/20/20,09:29:00,4,1,24,4,18,18,10,0,0,0,220,220,145,5,5,0,13,No,0,1,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,8/21/20,10:23:00,5,0,24,4,18,18,10,0,0,0,220,220,148,5,5,0,30,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/22/20,09:35:00,5,0,24,3,18,18,11,0,0,0,220,220,138,5,5,2,16,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,8/23/20,11:19:00,6,0,24,4,18,18,11,0,0,0,220,220,142,5,5,2,14,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/24/20,10:04:00,7,1,25,3,18,18,11,0,0,0,220,220,144,5,5,2,33,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/25/20,10:15:00,6,2,24,4,18,18,9,0,0,0,220,220,153,5,5,0,21,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/26/20,09:27:00,3,1,24,3,18,18,10,0,0,0,220,220,140,5,5,0,21,No,0,1,0,0,5
Frederick Memorial Hospital,Region II,Frederick County,8/27/20,11:04:00,3,0,24,2,18,18,12,0,0,0,220,220,132,5,5,0,32,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,8/28/20,10:52:00,4,0,24,1,18,18,10,0,0,0,220,220,131,5,5,1,22,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/29/20,12:32:00,2,0,24,1,18,18,9,0,0,0,220,220,123,5,5,1,28,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,8/30/20,12:18:00,1,1,24,3,18,18,8,0,0,0,220,220,122,5,5,0,36,No,0,2,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,8/31/20,10:25:00,1,1,24,3,18,18,6,0,0,0,220,220,125,5,5,0,23,No,0,1,0,0,4
Frederick Memorial Hospital,Region II,Frederick County,9/1/20,09:36:00,1,1,24,2,18,18,8,0,0,0,220,220,129,5,5,1,27,No,0,1,0,0,1
Frederick Memorial Hospital,Region II,Frederick County,9/2/20,09:30:00,2,1,24,5,18,18,9,0,0,0,220,220,127,5,5,0,18,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,9/3/20,11:12:00,3,1,24,4,18,18,11,0,0,0,220,220,134,5,5,0,24,No,0,1,0,0,3
Frederick Memorial Hospital,Region II,Frederick County,9/4/20,09:59:00,1,1,24,5,18,18,14,0,0,0,220,220,146,5,5,0,10,No,0,1,0,0,2
Frederick Memorial Hospital,Region II,Frederick County,9/5/20,09:32:00,2,1,24,5,18,18,11,0,0,0,220,220,147,5,5,0,11,No,0,1,0,0,2
