hospital,hospital_id,date,active_acute,active_icu,active_allbeds
Edward McCready Memorial Hospital,h55609821,2020-11-20,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-21,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-22,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-23,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-24,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-25,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-26,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-27,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-28,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-29,0,0,0
Edward McCready Memorial Hospital,h55609821,2020-11-30,0,0,0
Fort Washington ACS,h30119195,2020-07-16,0,2,2
Fort Washington ACS,h30119195,2020-07-17,0,,
Fort Washington ACS,h30119195,2020-07-18,0,,
Fort Washington ACS,h30119195,2020-07-19,0,0,0
Fort Washington ACS,h30119195,2020-07-20,0,0,0
Fort Washington ACS,h30119195,2020-07-21,0,0,0
Fort Washington ACS,h30119195,2020-07-22,0,0,0
Fort Washington ACS,h30119195,2020-07-23,0,0,0
Fort Washington ACS,h30119195,2020-07-24,0,0,0
Fort Washington ACS,h30119195,2020-07-25,0,0,0
Fort Washington ACS,h30119195,2020-07-26,0,0,0
Fort Washington ACS,h30119195,2020-07-27,0,0,0
Fort Washington ACS,h30119195,2020-07-28,0,0,0
Fort Washington ACS,h30119195,2020-07-29,0,0,0
Fort Washington ACS,h30119195,2020-07-30,0,0,0
Fort Washington ACS,h30119195,2020-07-31,0,0,0
Fort Washington ACS,h30119195,2020-08-01,0,0,0
Fort Washington ACS,h30119195,2020-08-02,0,2,2
Fort Washington ACS,h30119195,2020-08-03,0,2,2
Fort Washington ACS,h30119195,2020-08-04,0,2,2
Fort Washington ACS,h30119195,2020-08-05,0,1,1
Fort Washington ACS,h30119195,2020-08-06,0,1,1
Fort Washington ACS,h30119195,2020-08-07,0,1,1
Fort Washington ACS,h30119195,2020-08-08,0,0,0
Fort Washington ACS,h30119195,2020-08-09,0,0,0
Fort Washington ACS,h30119195,2020-08-10,0,0,0
Fort Washington ACS,h30119195,2020-08-11,0,0,0
Fort Washington ACS,h30119195,2020-08-12,0,0,0
Fort Washington ACS,h30119195,2020-08-13,0,3,3
Fort Washington ACS,h30119195,2020-08-14,0,3,3
Fort Washington ACS,h30119195,2020-08-15,0,3,3
Fort Washington ACS,h30119195,2020-08-16,0,3,3
Fort Washington ACS,h30119195,2020-08-17,0,3,3
Fort Washington ACS,h30119195,2020-08-18,0,3,3
Fort Washington ACS,h30119195,2020-08-19,0,3,3
Fort Washington ACS,h30119195,2020-08-20,0,3,3
Fort Washington ACS,h30119195,2020-08-21,0,2,2
Fort Washington ACS,h30119195,2020-08-22,0,0,0
Fort Washington ACS,h30119195,2020-08-23,0,0,0
Fort Washington ACS,h30119195,2020-08-24,0,0,0
Fort Washington ACS,h30119195,2020-08-25,0,0,0
Fort Washington ACS,h30119195,2020-08-26,0,0,0
Fort Washington ACS,h30119195,2020-08-27,0,0,0
Fort Washington ACS,h30119195,2020-08-28,0,0,0
Fort Washington ACS,h30119195,2020-08-29,0,0,0
Fort Washington ACS,h30119195,2020-08-30,0,0,0
Fort Washington ACS,h30119195,2020-08-31,0,0,0
Fort Washington ACS,h30119195,2020-09-01,0,0,0
Fort Washington ACS,h30119195,2020-09-02,0,0,0
Fort Washington ACS,h30119195,2020-09-03,0,0,0
Fort Washington ACS,h30119195,2020-09-04,0,0,0
Fort Washington ACS,h30119195,2020-09-05,0,0,0
Fort Washington ACS,h30119195,2020-09-06,0,0,0
Fort Washington ACS,h30119195,2020-09-07,0,0,0
Fort Washington ACS,h30119195,2020-09-08,0,0,0
Fort Washington ACS,h30119195,2020-09-09,0,0,0
Fort Washington ACS,h30119195,2020-09-10,0,0,0
Fort Washington ACS,h30119195,2020-09-11,0,0,0
Fort Washington ACS,h30119195,2020-09-12,0,0,0
Fort Washington ACS,h30119195,2020-09-13,0,0,0
Fort Washington ACS,h30119195,2020-09-14,0,0,0
Fort Washington ACS,h30119195,2020-09-15,0,0,0
Fort Washington ACS,h30119195,2020-09-16,0,0,0
Fort Washington ACS,h30119195,2020-09-17,0,0,0
Fort Washington ACS,h30119195,2020-09-18,0,0,0
Fort Washington ACS,h30119195,2020-09-19,0,0,0
Fort Washington ACS,h30119195,2020-09-20,0,0,0
Fort Washington ACS,h30119195,2020-09-21,0,0,0
Fort Washington ACS,h30119195,2020-09-22,0,0,0
Fort Washington ACS,h30119195,2020-09-23,0,2,2
Fort Washington ACS,h30119195,2020-09-24,0,3,3
Fort Washington ACS,h30119195,2020-09-25,0,3,3
Fort Washington ACS,h30119195,2020-09-26,0,3,3
Fort Washington ACS,h30119195,2020-09-27,0,1,1
Fort Washington ACS,h30119195,2020-09-28,0,1,1
Fort Washington ACS,h30119195,2020-09-29,0,1,1
Fort Washington ACS,h30119195,2020-09-30,0,1,1
Fort Washington ACS,h30119195,2020-10-01,0,1,1
Fort Washington ACS,h30119195,2020-10-02,0,1,1
Fort Washington ACS,h30119195,2020-10-03,0,1,1
Fort Washington ACS,h30119195,2020-10-04,0,1,1
Fort Washington ACS,h30119195,2020-10-05,0,1,1
Fort Washington ACS,h30119195,2020-10-06,0,1,1
Fort Washington ACS,h30119195,2020-10-07,0,1,1
Fort Washington ACS,h30119195,2020-10-08,0,2,2
Fort Washington ACS,h30119195,2020-10-09,0,2,2
Fort Washington ACS,h30119195,2020-10-10,0,2,2
Fort Washington ACS,h30119195,2020-10-11,0,1,1
Fort Washington ACS,h30119195,2020-10-12,0,1,1
Fort Washington ACS,h30119195,2020-10-13,0,1,1
Fort Washington ACS,h30119195,2020-10-14,0,1,1
Fort Washington ACS,h30119195,2020-10-15,0,1,1
Fort Washington ACS,h30119195,2020-10-16,0,2,2
Fort Washington ACS,h30119195,2020-10-17,0,1,1
Fort Washington ACS,h30119195,2020-10-18,0,2,2
Fort Washington ACS,h30119195,2020-10-19,0,2,2
Fort Washington ACS,h30119195,2020-10-20,0,2,2
Fort Washington ACS,h30119195,2020-10-21,0,2,2
Fort Washington ACS,h30119195,2020-10-22,1,2,3
Fort Washington ACS,h30119195,2020-10-23,1,2,3
Fort Washington ACS,h30119195,2020-10-24,1,3,4
Fort Washington ACS,h30119195,2020-10-25,1,3,4
Fort Washington ACS,h30119195,2020-10-26,1,3,4
Fort Washington ACS,h30119195,2020-10-27,1,3,4
Fort Washington ACS,h30119195,2020-10-28,1,2,3
Fort Washington ACS,h30119195,2020-10-29,1,3,4
Fort Washington ACS,h30119195,2020-10-30,1,3,4
Fort Washington ACS,h30119195,2020-10-31,1,5,6
Fort Washington ACS,h30119195,2020-11-01,0,5,5
Fort Washington ACS,h30119195,2020-11-02,0,5,5
Fort Washington ACS,h30119195,2020-11-03,0,6,6
Fort Washington ACS,h30119195,2020-11-04,0,6,6
Fort Washington ACS,h30119195,2020-11-05,0,6,6
Fort Washington ACS,h30119195,2020-11-06,0,6,6
Fort Washington ACS,h30119195,2020-11-07,0,6,6
Fort Washington ACS,h30119195,2020-11-08,0,6,6
Fort Washington ACS,h30119195,2020-11-09,0,4,4
Fort Washington ACS,h30119195,2020-11-10,0,3,3
Fort Washington ACS,h30119195,2020-11-11,0,3,3
Fort Washington ACS,h30119195,2020-11-12,0,3,3
Fort Washington ACS,h30119195,2020-11-13,0,3,3
Fort Washington ACS,h30119195,2020-11-14,1,2,3
Fort Washington ACS,h30119195,2020-11-15,0,2,2
Fort Washington ACS,h30119195,2020-11-16,0,2,2
Fort Washington ACS,h30119195,2020-11-17,0,2,2
Fort Washington ACS,h30119195,2020-11-18,0,2,2
Fort Washington ACS,h30119195,2020-11-19,0,3,3
Fort Washington ACS,h30119195,2020-11-20,0,3,3
Fort Washington ACS,h30119195,2020-11-21,0,3,3
Fort Washington ACS,h30119195,2020-11-22,1,3,4
Fort Washington ACS,h30119195,2020-11-23,1,2,3
Fort Washington ACS,h30119195,2020-11-24,0,3,3
Fort Washington ACS,h30119195,2020-11-25,0,0,0
Fort Washington ACS,h30119195,2020-11-26,0,3,3
Fort Washington ACS,h30119195,2020-11-27,0,2,2
Fort Washington ACS,h30119195,2020-11-28,0,2,2
Fort Washington ACS,h30119195,2020-11-29,0,3,3
Fort Washington ACS,h30119195,2020-11-30,1,1,2
Fort Washington Hospital,h24459724,2020-03-25,0,0,0
Fort Washington Hospital,h24459724,2020-03-26,0,0,0
Fort Washington Hospital,h24459724,2020-03-27,0,0,0
Fort Washington Hospital,h24459724,2020-03-28,0,0,0
Fort Washington Hospital,h24459724,2020-03-29,1,0,1
Fort Washington Hospital,h24459724,2020-03-30,3,0,3
Fort Washington Hospital,h24459724,2020-03-31,3,0,3
Fort Washington Hospital,h24459724,2020-04-01,,,
Fort Washington Hospital,h24459724,2020-04-02,3,0,3
Fort Washington Hospital,h24459724,2020-04-03,4,0,4
Fort Washington Hospital,h24459724,2020-04-04,3,11,14
Fort Washington Hospital,h24459724,2020-04-05,3,0,3
Fort Washington Hospital,h24459724,2020-04-06,3,0,3
Fort Washington Hospital,h24459724,2020-04-07,5,0,5
Fort Washington Hospital,h24459724,2020-04-08,5,0,5
Fort Washington Hospital,h24459724,2020-04-09,8,0,8
Fort Washington Hospital,h24459724,2020-04-10,9,0,9
Fort Washington Hospital,h24459724,2020-04-11,9,0,9
Fort Washington Hospital,h24459724,2020-04-12,9,3,12
Fort Washington Hospital,h24459724,2020-04-13,9,3,12
Fort Washington Hospital,h24459724,2020-04-14,7,3,10
Fort Washington Hospital,h24459724,2020-04-15,8,3,11
Fort Washington Hospital,h24459724,2020-04-16,7,3,10
Fort Washington Hospital,h24459724,2020-04-17,7,4,11
Fort Washington Hospital,h24459724,2020-04-18,8,4,12
Fort Washington Hospital,h24459724,2020-04-19,1,3,4
Fort Washington Hospital,h24459724,2020-04-20,6,2,8
Fort Washington Hospital,h24459724,2020-04-21,6,2,8
Fort Washington Hospital,h24459724,2020-04-22,6,2,8
Fort Washington Hospital,h24459724,2020-04-23,5,2,7
Fort Washington Hospital,h24459724,2020-04-24,5,2,7
Fort Washington Hospital,h24459724,2020-04-25,5,3,8
Fort Washington Hospital,h24459724,2020-04-26,5,3,8
Fort Washington Hospital,h24459724,2020-04-27,9,3,12
Fort Washington Hospital,h24459724,2020-04-28,12,3,15
Fort Washington Hospital,h24459724,2020-04-29,11,3,14
Fort Washington Hospital,h24459724,2020-04-30,7,2,9
Fort Washington Hospital,h24459724,2020-05-01,6,3,9
Fort Washington Hospital,h24459724,2020-05-02,9,2,11
Fort Washington Hospital,h24459724,2020-05-03,7,2,9
Fort Washington Hospital,h24459724,2020-05-04,14,3,17
Fort Washington Hospital,h24459724,2020-05-05,13,3,16
Fort Washington Hospital,h24459724,2020-05-06,15,4,19
Fort Washington Hospital,h24459724,2020-05-07,9,5,14
Fort Washington Hospital,h24459724,2020-05-08,9,5,14
Fort Washington Hospital,h24459724,2020-05-09,11,4,15
Fort Washington Hospital,h24459724,2020-05-10,8,4,12
Fort Washington Hospital,h24459724,2020-05-11,8,4,12
Fort Washington Hospital,h24459724,2020-05-12,8,4,12
Fort Washington Hospital,h24459724,2020-05-13,6,5,11
Fort Washington Hospital,h24459724,2020-05-14,5,5,10
Fort Washington Hospital,h24459724,2020-05-15,4,5,9
Fort Washington Hospital,h24459724,2020-05-16,6,4,10
Fort Washington Hospital,h24459724,2020-05-17,2,5,7
Fort Washington Hospital,h24459724,2020-05-18,4,5,9
Fort Washington Hospital,h24459724,2020-05-19,4,5,9
Fort Washington Hospital,h24459724,2020-05-20,4,3,7
Fort Washington Hospital,h24459724,2020-05-21,4,5,9
Fort Washington Hospital,h24459724,2020-05-22,4,10,14
Fort Washington Hospital,h24459724,2020-05-23,4,9,13
Fort Washington Hospital,h24459724,2020-05-24,6,8,14
Fort Washington Hospital,h24459724,2020-05-25,3,7,10
Fort Washington Hospital,h24459724,2020-05-26,4,5,9
Fort Washington Hospital,h24459724,2020-05-27,4,4,8
Fort Washington Hospital,h24459724,2020-05-28,5,4,9
Fort Washington Hospital,h24459724,2020-05-29,4,4,8
Fort Washington Hospital,h24459724,2020-05-30,4,5,9
Fort Washington Hospital,h24459724,2020-05-31,6,4,10
Fort Washington Hospital,h24459724,2020-06-01,4,3,7
Fort Washington Hospital,h24459724,2020-06-02,2,4,6
Fort Washington Hospital,h24459724,2020-06-03,2,4,6
Fort Washington Hospital,h24459724,2020-06-04,3,3,6
Fort Washington Hospital,h24459724,2020-06-05,3,3,6
Fort Washington Hospital,h24459724,2020-06-06,3,3,6
Fort Washington Hospital,h24459724,2020-06-07,3,1,4
Fort Washington Hospital,h24459724,2020-06-08,1,3,4
Fort Washington Hospital,h24459724,2020-06-09,2,1,3
Fort Washington Hospital,h24459724,2020-06-10,4,2,6
Fort Washington Hospital,h24459724,2020-06-11,3,2,5
Fort Washington Hospital,h24459724,2020-06-12,5,2,7
Fort Washington Hospital,h24459724,2020-06-13,4,3,7
Fort Washington Hospital,h24459724,2020-06-14,4,0,4
Fort Washington Hospital,h24459724,2020-06-15,4,1,5
Fort Washington Hospital,h24459724,2020-06-16,4,2,6
Fort Washington Hospital,h24459724,2020-06-17,3,2,5
Fort Washington Hospital,h24459724,2020-06-18,4,5,9
Fort Washington Hospital,h24459724,2020-06-19,3,5,8
Fort Washington Hospital,h24459724,2020-06-20,4,5,9
Fort Washington Hospital,h24459724,2020-06-21,3,5,8
Fort Washington Hospital,h24459724,2020-06-22,2,5,7
Fort Washington Hospital,h24459724,2020-06-23,2,5,7
Fort Washington Hospital,h24459724,2020-06-24,1,4,5
Fort Washington Hospital,h24459724,2020-06-25,1,3,4
Fort Washington Hospital,h24459724,2020-06-26,1,3,4
Fort Washington Hospital,h24459724,2020-06-27,1,2,3
Fort Washington Hospital,h24459724,2020-06-28,2,2,4
Fort Washington Hospital,h24459724,2020-06-29,1,2,3
Fort Washington Hospital,h24459724,2020-06-30,2,2,4
Fort Washington Hospital,h24459724,2020-07-01,3,2,5
Fort Washington Hospital,h24459724,2020-07-02,3,2,5
Fort Washington Hospital,h24459724,2020-07-03,3,2,5
Fort Washington Hospital,h24459724,2020-07-04,2,2,4
Fort Washington Hospital,h24459724,2020-07-05,2,2,4
Fort Washington Hospital,h24459724,2020-07-06,3,0,3
Fort Washington Hospital,h24459724,2020-07-07,3,0,3
Fort Washington Hospital,h24459724,2020-07-08,4,0,4
Fort Washington Hospital,h24459724,2020-07-09,3,0,3
Fort Washington Hospital,h24459724,2020-07-10,2,0,2
Fort Washington Hospital,h24459724,2020-07-11,2,0,2
Fort Washington Hospital,h24459724,2020-07-12,2,0,2
Fort Washington Hospital,h24459724,2020-07-13,2,0,2
Fort Washington Hospital,h24459724,2020-07-14,1,2,3
Fort Washington Hospital,h24459724,2020-07-15,1,1,2
Fort Washington Hospital,h24459724,2020-07-16,2,0,2
Fort Washington Hospital,h24459724,2020-07-17,2,1,3
Fort Washington Hospital,h24459724,2020-07-18,3,2,5
Fort Washington Hospital,h24459724,2020-07-19,3,2,5
Fort Washington Hospital,h24459724,2020-07-20,4,2,6
Fort Washington Hospital,h24459724,2020-07-21,3,2,5
Fort Washington Hospital,h24459724,2020-07-22,4,3,7
Fort Washington Hospital,h24459724,2020-07-23,3,2,5
Fort Washington Hospital,h24459724,2020-07-24,5,2,7
Fort Washington Hospital,h24459724,2020-07-25,5,2,7
Fort Washington Hospital,h24459724,2020-07-26,5,2,7
Fort Washington Hospital,h24459724,2020-07-27,3,2,5
Fort Washington Hospital,h24459724,2020-07-28,3,2,5
Fort Washington Hospital,h24459724,2020-07-29,3,3,6
Fort Washington Hospital,h24459724,2020-07-30,3,3,6
Fort Washington Hospital,h24459724,2020-07-31,4,3,7
Fort Washington Hospital,h24459724,2020-08-01,4,3,7
Fort Washington Hospital,h24459724,2020-08-02,3,0,3
Fort Washington Hospital,h24459724,2020-08-03,4,0,4
Fort Washington Hospital,h24459724,2020-08-04,4,0,4
Fort Washington Hospital,h24459724,2020-08-05,2,0,2
Fort Washington Hospital,h24459724,2020-08-06,2,0,2
Fort Washington Hospital,h24459724,2020-08-07,2,0,2
Fort Washington Hospital,h24459724,2020-08-08,1,3,4
Fort Washington Hospital,h24459724,2020-08-09,1,2,3
Fort Washington Hospital,h24459724,2020-08-10,1,2,3
Fort Washington Hospital,h24459724,2020-08-11,1,2,3
Fort Washington Hospital,h24459724,2020-08-12,1,2,3
Fort Washington Hospital,h24459724,2020-08-13,1,0,1
Fort Washington Hospital,h24459724,2020-08-14,1,0,1
Fort Washington Hospital,h24459724,2020-08-15,1,0,1
Fort Washington Hospital,h24459724,2020-08-16,3,0,3
Fort Washington Hospital,h24459724,2020-08-17,3,0,3
Fort Washington Hospital,h24459724,2020-08-18,2,0,2
Fort Washington Hospital,h24459724,2020-08-19,3,0,3
Fort Washington Hospital,h24459724,2020-08-20,3,0,3
Fort Washington Hospital,h24459724,2020-08-21,3,0,3
Fort Washington Hospital,h24459724,2020-08-22,4,2,6
Fort Washington Hospital,h24459724,2020-08-23,3,1,4
Fort Washington Hospital,h24459724,2020-08-24,3,1,4
Fort Washington Hospital,h24459724,2020-08-25,3,1,4
Fort Washington Hospital,h24459724,2020-08-26,3,1,4
Fort Washington Hospital,h24459724,2020-08-27,3,1,4
Fort Washington Hospital,h24459724,2020-08-28,3,1,4
Fort Washington Hospital,h24459724,2020-08-29,3,1,4
Fort Washington Hospital,h24459724,2020-08-30,1,0,1
Fort Washington Hospital,h24459724,2020-08-31,0,0,0
Fort Washington Hospital,h24459724,2020-09-01,0,0,0
Fort Washington Hospital,h24459724,2020-09-02,1,0,1
Fort Washington Hospital,h24459724,2020-09-03,2,0,2
Fort Washington Hospital,h24459724,2020-09-04,1,0,1
Fort Washington Hospital,h24459724,2020-09-05,1,0,1
Fort Washington Hospital,h24459724,2020-09-06,1,0,1
Fort Washington Hospital,h24459724,2020-09-07,1,0,1
Fort Washington Hospital,h24459724,2020-09-08,0,0,0
Fort Washington Hospital,h24459724,2020-09-09,0,1,1
Fort Washington Hospital,h24459724,2020-09-10,0,1,1
Fort Washington Hospital,h24459724,2020-09-11,1,2,3
Fort Washington Hospital,h24459724,2020-09-12,3,1,4
Fort Washington Hospital,h24459724,2020-09-13,3,2,5
Fort Washington Hospital,h24459724,2020-09-14,2,4,6
Fort Washington Hospital,h24459724,2020-09-15,2,4,6
Fort Washington Hospital,h24459724,2020-09-16,1,4,5
Fort Washington Hospital,h24459724,2020-09-17,1,4,5
Fort Washington Hospital,h24459724,2020-09-18,2,3,5
Fort Washington Hospital,h24459724,2020-09-19,2,3,5
Fort Washington Hospital,h24459724,2020-09-20,2,3,5
Fort Washington Hospital,h24459724,2020-09-21,2,2,4
Fort Washington Hospital,h24459724,2020-09-22,3,2,5
Fort Washington Hospital,h24459724,2020-09-23,1,0,1
Fort Washington Hospital,h24459724,2020-09-24,0,0,0
Fort Washington Hospital,h24459724,2020-09-25,0,0,0
Fort Washington Hospital,h24459724,2020-09-26,2,0,2
Fort Washington Hospital,h24459724,2020-09-27,3,0,3
Fort Washington Hospital,h24459724,2020-09-28,3,0,3
Fort Washington Hospital,h24459724,2020-09-29,2,0,2
Fort Washington Hospital,h24459724,2020-09-30,1,0,1
Fort Washington Hospital,h24459724,2020-10-01,1,0,1
Fort Washington Hospital,h24459724,2020-10-02,2,0,2
Fort Washington Hospital,h24459724,2020-10-03,2,0,2
Fort Washington Hospital,h24459724,2020-10-04,4,0,4
Fort Washington Hospital,h24459724,2020-10-05,3,0,3
Fort Washington Hospital,h24459724,2020-10-06,4,0,4
Fort Washington Hospital,h24459724,2020-10-07,4,0,4
Fort Washington Hospital,h24459724,2020-10-08,4,0,4
Fort Washington Hospital,h24459724,2020-10-09,0,0,0
Fort Washington Hospital,h24459724,2020-10-10,1,0,1
Fort Washington Hospital,h24459724,2020-10-11,2,0,2
Fort Washington Hospital,h24459724,2020-10-12,2,0,2
Fort Washington Hospital,h24459724,2020-10-13,3,0,3
Fort Washington Hospital,h24459724,2020-10-14,3,0,3
Fort Washington Hospital,h24459724,2020-10-15,2,0,2
Fort Washington Hospital,h24459724,2020-10-16,1,0,1
Fort Washington Hospital,h24459724,2020-10-17,2,0,2
Fort Washington Hospital,h24459724,2020-10-18,1,0,1
Fort Washington Hospital,h24459724,2020-10-19,1,0,1
Fort Washington Hospital,h24459724,2020-10-20,2,0,2
Fort Washington Hospital,h24459724,2020-10-21,1,0,1
Fort Washington Hospital,h24459724,2020-10-22,3,0,3
Fort Washington Hospital,h24459724,2020-10-23,3,0,3
Fort Washington Hospital,h24459724,2020-10-24,3,0,3
Fort Washington Hospital,h24459724,2020-10-25,3,0,3
Fort Washington Hospital,h24459724,2020-10-26,2,0,2
Fort Washington Hospital,h24459724,2020-10-27,4,0,4
Fort Washington Hospital,h24459724,2020-10-28,4,0,4
Fort Washington Hospital,h24459724,2020-10-29,4,0,4
Fort Washington Hospital,h24459724,2020-10-30,4,0,4
Fort Washington Hospital,h24459724,2020-10-31,3,0,3
Fort Washington Hospital,h24459724,2020-11-01,1,0,1
Fort Washington Hospital,h24459724,2020-11-02,2,0,2
Fort Washington Hospital,h24459724,2020-11-03,3,0,3
Fort Washington Hospital,h24459724,2020-11-04,5,0,5
Fort Washington Hospital,h24459724,2020-11-05,3,0,3
Fort Washington Hospital,h24459724,2020-11-06,3,0,3
Fort Washington Hospital,h24459724,2020-11-07,3,0,3
Fort Washington Hospital,h24459724,2020-11-08,3,0,3
Fort Washington Hospital,h24459724,2020-11-09,2,0,2
Fort Washington Hospital,h24459724,2020-11-10,3,0,3
Fort Washington Hospital,h24459724,2020-11-11,4,0,4
Fort Washington Hospital,h24459724,2020-11-12,4,0,4
Fort Washington Hospital,h24459724,2020-11-13,4,0,4
Fort Washington Hospital,h24459724,2020-11-14,4,0,4
Fort Washington Hospital,h24459724,2020-11-15,5,0,5
Fort Washington Hospital,h24459724,2020-11-16,6,0,6
Fort Washington Hospital,h24459724,2020-11-17,6,0,6
Fort Washington Hospital,h24459724,2020-11-18,8,0,8
Fort Washington Hospital,h24459724,2020-11-19,7,0,7
Fort Washington Hospital,h24459724,2020-11-20,7,0,7
Fort Washington Hospital,h24459724,2020-11-21,8,0,8
Fort Washington Hospital,h24459724,2020-11-22,5,0,5
Fort Washington Hospital,h24459724,2020-11-23,5,0,5
Fort Washington Hospital,h24459724,2020-11-24,5,0,5
Fort Washington Hospital,h24459724,2020-11-25,5,3,8
Fort Washington Hospital,h24459724,2020-11-26,5,0,5
Fort Washington Hospital,h24459724,2020-11-27,4,0,4
Fort Washington Hospital,h24459724,2020-11-28,4,0,4
Fort Washington Hospital,h24459724,2020-11-29,2,0,2
Fort Washington Hospital,h24459724,2020-11-30,3,0,3
Franklin Square (MedStar),h41936996,2020-03-25,2,0,2
Franklin Square (MedStar),h41936996,2020-03-26,2,0,2
Franklin Square (MedStar),h41936996,2020-03-27,3,0,3
Franklin Square (MedStar),h41936996,2020-03-28,6,3,9
Franklin Square (MedStar),h41936996,2020-03-29,3,3,6
Franklin Square (MedStar),h41936996,2020-03-30,8,3,11
Franklin Square (MedStar),h41936996,2020-03-31,6,5,11
Franklin Square (MedStar),h41936996,2020-04-01,,,
Franklin Square (MedStar),h41936996,2020-04-02,14,7,21
Franklin Square (MedStar),h41936996,2020-04-03,13,7,20
Franklin Square (MedStar),h41936996,2020-04-04,15,8,23
Franklin Square (MedStar),h41936996,2020-04-05,15,8,23
Franklin Square (MedStar),h41936996,2020-04-06,14,18,32
Franklin Square (MedStar),h41936996,2020-04-07,22,13,35
Franklin Square (MedStar),h41936996,2020-04-08,16,14,30
Franklin Square (MedStar),h41936996,2020-04-09,14,23,37
Franklin Square (MedStar),h41936996,2020-04-10,23,15,38
Franklin Square (MedStar),h41936996,2020-04-11,22,15,37
Franklin Square (MedStar),h41936996,2020-04-12,22,15,37
Franklin Square (MedStar),h41936996,2020-04-13,16,21,37
Franklin Square (MedStar),h41936996,2020-04-14,14,22,36
Franklin Square (MedStar),h41936996,2020-04-15,18,18,36
Franklin Square (MedStar),h41936996,2020-04-16,20,17,37
Franklin Square (MedStar),h41936996,2020-04-17,19,15,34
Franklin Square (MedStar),h41936996,2020-04-18,18,18,36
Franklin Square (MedStar),h41936996,2020-04-19,23,17,40
Franklin Square (MedStar),h41936996,2020-04-20,22,19,41
Franklin Square (MedStar),h41936996,2020-04-21,21,19,40
Franklin Square (MedStar),h41936996,2020-04-22,14,18,32
Franklin Square (MedStar),h41936996,2020-04-23,20,20,40
Franklin Square (MedStar),h41936996,2020-04-24,20,18,38
Franklin Square (MedStar),h41936996,2020-04-25,26,20,46
Franklin Square (MedStar),h41936996,2020-04-26,29,19,48
Franklin Square (MedStar),h41936996,2020-04-27,30,19,49
Franklin Square (MedStar),h41936996,2020-04-28,32,17,49
Franklin Square (MedStar),h41936996,2020-04-29,32,17,49
Franklin Square (MedStar),h41936996,2020-04-30,33,18,51
Franklin Square (MedStar),h41936996,2020-05-01,32,20,52
Franklin Square (MedStar),h41936996,2020-05-02,34,19,53
Franklin Square (MedStar),h41936996,2020-05-03,34,19,53
Franklin Square (MedStar),h41936996,2020-05-04,41,19,60
Franklin Square (MedStar),h41936996,2020-05-05,34,19,53
Franklin Square (MedStar),h41936996,2020-05-06,37,17,54
Franklin Square (MedStar),h41936996,2020-05-07,33,20,53
Franklin Square (MedStar),h41936996,2020-05-08,29,18,47
Franklin Square (MedStar),h41936996,2020-05-09,26,18,44
Franklin Square (MedStar),h41936996,2020-05-10,29,14,43
Franklin Square (MedStar),h41936996,2020-05-11,26,17,43
Franklin Square (MedStar),h41936996,2020-05-12,29,18,47
Franklin Square (MedStar),h41936996,2020-05-13,32,16,48
Franklin Square (MedStar),h41936996,2020-05-14,38,19,57
Franklin Square (MedStar),h41936996,2020-05-15,30,17,47
Franklin Square (MedStar),h41936996,2020-05-16,32,22,54
Franklin Square (MedStar),h41936996,2020-05-17,34,19,53
Franklin Square (MedStar),h41936996,2020-05-18,38,18,56
Franklin Square (MedStar),h41936996,2020-05-19,38,18,56
Franklin Square (MedStar),h41936996,2020-05-20,34,18,52
Franklin Square (MedStar),h41936996,2020-05-21,26,18,44
Franklin Square (MedStar),h41936996,2020-05-22,27,18,45
Franklin Square (MedStar),h41936996,2020-05-23,24,16,40
Franklin Square (MedStar),h41936996,2020-05-24,23,17,40
Franklin Square (MedStar),h41936996,2020-05-25,25,14,39
Franklin Square (MedStar),h41936996,2020-05-26,27,15,42
Franklin Square (MedStar),h41936996,2020-05-27,31,17,48
Franklin Square (MedStar),h41936996,2020-05-28,28,18,46
Franklin Square (MedStar),h41936996,2020-05-29,23,19,42
Franklin Square (MedStar),h41936996,2020-05-30,19,17,36
Franklin Square (MedStar),h41936996,2020-05-31,23,17,40
Franklin Square (MedStar),h41936996,2020-06-01,23,19,42
Franklin Square (MedStar),h41936996,2020-06-02,23,16,39
Franklin Square (MedStar),h41936996,2020-06-03,21,15,36
Franklin Square (MedStar),h41936996,2020-06-04,19,15,34
Franklin Square (MedStar),h41936996,2020-06-05,16,16,32
Franklin Square (MedStar),h41936996,2020-06-06,11,14,25
Franklin Square (MedStar),h41936996,2020-06-07,14,17,31
Franklin Square (MedStar),h41936996,2020-06-08,12,14,26
Franklin Square (MedStar),h41936996,2020-06-09,14,13,27
Franklin Square (MedStar),h41936996,2020-06-10,12,12,24
Franklin Square (MedStar),h41936996,2020-06-11,13,9,22
Franklin Square (MedStar),h41936996,2020-06-12,19,8,27
Franklin Square (MedStar),h41936996,2020-06-13,19,6,25
Franklin Square (MedStar),h41936996,2020-06-14,16,5,21
