hospital,zipcode,lat,long
Tanner Medical Center Villa Rica,30180,33.717103,-84.918032
Tanner Medical Center - Carrollton,30117,33.581851,-85.132439
Chi Memorial Hospital- Georgia,30742,34.950584,-85.243239
Candler Hospital,31412,36.41568569008179,-89.93698683895991
Landmark Hospital Of Savannah,31405,32.039396,-81.179116
Memorial Health University Medical Center,31404,32.051559,-81.049211
St Joseph'S Hospital - Savannah,31419,31.997154,-81.230649
Emory Johns Creek Hospital,30097,34.026142,-84.145592
Northside Hospital Cherokee,30115,34.204092,-84.400462
"Landmark Hospital Of Athens, Llc",30606,33.937551,-83.424964
Piedmont Athens Regional Medical Center,30606,33.937551,-83.424964
St Mary'S Hospital,30606,33.937551,-83.424964
Southern Regional Medical Center,30274,33.554561,-84.399687
Clinch Memorial Hospital,31634,31.042485,-82.767459
Wellstar Cobb Hospital,30106,33.83901,-84.628247
Wellstar Kennestone Hospital,30060,33.926431,-84.541629
Wellstar Windy Hill Hospital,30067,33.934278,-84.462185
"Coffee Regional Medical Center, Inc",31533,31.560258,-82.828039
Colquitt Regional Medical Center,31768,31.189103,-83.841107
"Southwell Medical, A Campus Of Trmc",31620,31.117296,-83.434236
"Piedmont Newnan Hospital, Inc",30265,33.418625,-84.713134
Southeastern Regional Medical Center,30265,33.418625,-84.713134
Crisp Regional Hospital,31015,31.935,-83.774945
Memorial Hospital And Manor,39819,30.788581,-84.634069
Emory University Hospital,30322,33.793597,-84.326127
Children'S Healthcare Of Atlanta At Egleston,30322,33.793597,-84.326127
Emory Decatur Hospital,30033,33.811659,-84.28323
Emory Long Term Acute Care,30030,33.771947,-84.29027
Emory Hillandale Hospital,30058,33.74033,-84.108844
Dodge County Hospital,31023,32.183213,-83.199454
Phoebe Putney Memorial Hospital,31703,36.41568569008179,-89.93698683895991
Wellstar Douglas Hospital,30134,33.777518,-84.781392
Lifebrite Community Hospital Of Early,39823,31.336246,-84.946067
Effingham Health System,31329,32.425638,-81.350634
Evans Memorial Hospital,30417,32.170468,-81.920992
Fannin Regional Hospital,30513,34.821043,-84.322383
Piedmont Fayette Hospital,30214,33.490464,-84.485997
Floyd Medical Center,30162,36.41568569008179,-89.93698683895991
Redmond Regional Medical Center,30165,34.302923,-85.269103
Northside Hospital Forsyth,30041,34.204626,-84.100357
"St Mary'S Sacred Heart Hospital, Inc",30553,34.443769,-83.084137
Emory University Hospital Midtown,30308,33.771126,-84.378108
Grady Memorial Hospital,30303,33.753259,-84.389953
"Saint Joseph'S Hospital Of Atlanta, Inc",30342,33.882179,-84.375289
Wellstar Atlanta Medical Center,30312,33.744725,-84.375231
Children'S Healthcare Of Atlanta At Scottish Rite,30342,33.882179,-84.375289
Wellstar North Fulton Hospital,30076,34.028483,-84.311423
Piedmont Hospital,30309,33.799884,-84.385805
Southeast Georgia Health System- Brunswick Campus,31520,31.180919,-81.493973
Adventhealth Gordon,30701,34.492384,-84.958336
Grady General Hospital,39828,30.808346,-84.224088
St Mary'S Good Samaritan Hospital,30642,33.554175,-83.194404
Northside Hospital Gwinnett ,30045,33.936518,-83.927669
Eastside Medical Center,30078,33.861019,-84.017993
Habersham County Medical Ctr,30535,34.573655,-83.574769
"Northeast Georgia Medical Center, Inc",30501,34.319072,-83.814393
Higgins General Hospital,30110,33.744459,-85.135938
Piedmont Henry Hospital,30281,33.567898,-84.193388
Perry Hospital,31069,32.440068,-83.748603
Houston Medical Center,31093,32.647873,-83.657206
Irwin County Hospital,31774,31.565466,-83.263747
Jasper Memorial Hospital,31064,33.286297,-83.702346
Jeff Davis Hospital,31539,31.8317,-82.605344
Jefferson Hospital,30434,33.025668,-82.383791
Jenkins County Medical Center,30442,32.799793,-81.983529
Sgmc Lanier Campus,31635,31.096714,-83.048818
Fairview Park Hospital,31021,32.493427,-82.943054
Liberty Regional Medical Center,31310,36.41568569008179,-89.93698683895991
South Georgia Medical Center,31602,30.868774,-83.342695
Northeast Georgia Medical Center Lumpkin,30533,34.56356,-84.020072
University Hospital Mcduffie,30824,33.512953,-82.514855
Flint River Community Hospital,31063,32.288966,-83.96326
Warm Springs Medical Center,31830,32.900708,-84.729063
Miller County Hospital,39837,31.152104,-84.677706
Mitchell County Hospital,31730,31.194884,-84.310924
Morgan Medical Center,30650,33.583689,-83.473544
Adventhealth Murray,30705,34.744142,-84.731404
St Francis Hospital- Emory Healthcare,31995,36.41568569008179,-89.93698683895991
"Columbus Specialty Hospital, Inc",31901,32.465313,-84.980285
Piedmont Columbus Regional Northside,31909,32.548807,-84.924106
Piedmont Columbus Regional Midtown,31901,32.465313,-84.980285
Piedmont Newton Hospital,30014,33.580062,-83.823102
Wellstar Paulding Hospital,30141,33.86043,-84.769883
"Medical Center Of Peach County, Navicent Health",31008,32.665346,-83.785924
Piedmont Mountainside Hospital Inc,30143,34.459958,-84.431752
Polk Medical Center,30125,34.000316,-85.276531
Taylor Regional Hospital,31036,32.282016,-83.523225
Putnam General Hospital,31024,33.320918,-83.37549
Mountain Lakes Medical Center,30525,34.907217,-83.369483
University Hospital,30901,33.437213,-81.956156
Lighthouse Care Center Of Augusta,30909,33.470481,-82.083045
Au Medical Center,30912,33.47051,-81.988094
Piedmont Rockdale Hospital,30012,33.717806,-84.002515
Optim Medical Center - Screven,30467,32.753793,-81.603534
Donalsonville Hospital Inc,39845,30.951468,-84.892838
Wellstar Spalding Regional Hospital,30223,33.288801,-84.279923
Stephens County Hospital,30577,34.552419,-83.325929
Phoebe Sumter Medical Center,31719,32.090302,-84.310735
Optim Medical Center - Tattnall,30453,32.011133,-82.121758
John D Archbold Memorial Hospital,31792,30.770798,-84.043704
Tift Regional Medical Center,31793,31.462511,-83.593543
Meadows Regional Medical Center,30474,32.238578,-82.417773
Chatuge Regional Hospital,30546,34.898796,-83.696585
Wellstar West Georgia Medical Center,30240,33.036764,-85.120092
Union General Hospital,30512,34.85953,-83.960571
Upson Regional Medical Center,30286,32.879167,-84.330566
"Piedmont Walton Hospital, Inc",30655,33.781688,-83.696095
Memorial Satilla Health,31501,31.223623,-82.350198
Washington County Regional Medical Center,31082,32.996417,-82.903117
Wayne Memorial Hospital,31545,31.663955,-81.934173
Hamilton Medical Center,30720,34.733644,-85.000824
Wills Memorial Hospital,30673,33.710915,-82.713973
Phoebe Worth Medical Center,31791,31.529137,-83.894978
Hilo Medical Center,96720,19.65981,-155.232473
Kona Community Hospital,96750,19.531994,-155.714828
Kohala Hospital,96755,20.196906,-155.789908
North Hawaii Community Hospital,96743,19.862159,-155.69887
Kau Hospital,96777,19.251948,-155.456769
Hale Ho'Ola Hamakua,96727,20.109943,-155.636271
Kuakini Medical Center,96817,21.355506,-157.821647
Shriners Hospital For Children,96826,21.291518,-157.826869
The Queens Medical Center,96813,21.316548,-157.845053
Wahiawa General Hospital,96786,21.564057,-157.979306
Leahi Hospital,96816,21.290676,-157.788352
Adventist Health Castle,96734,21.395084,-157.758188
Kahuku Medical Center,96731,21.677463,-157.96812
Kapiolani Medical Center For Women & Children,96826,21.291518,-157.826869
Straub Clinic And Hospital,96813,21.316548,-157.845053
Pali Momi Medical Center,96701,21.406053,-157.884952
Wilcox Memorial Hospital,96766,21.991913,-159.398906
Kauai Veterans Memorial Hospital,96796,22.094055,-159.718749
Samuel Mahelona Memorial Hospital,96746,22.093378,-159.38519
Lanai Community Hospital,96763,20.836482,-156.927377
Molokai General Hospital,96748,21.131173,-156.835237
Kula Hospital,96790,20.685422,-156.305383
Maui Memorial Medical Center,96793,20.895445,-156.530122
Saint Alphonsus Regional Medical Center,83706,43.591442,-116.194224
St Luke'S Nampa Medical Center,83687,43.609971,-116.529134
St Luke'S Regional Medical Center,83712,43.610535,-116.118981
Portneuf Medical Center,83201,42.904916,-112.380093
Bear Lake Memorial Hospital,83254,42.328779,-111.271877
Benewah Community Hospital,83861,47.264602,-116.540566
Bingham Memorial Hospital,83221,43.324081,-112.552045
St Luke'S Wood River Medical Center,83340,43.742478,-114.638311
Bonner General Hospital,83864,48.476674,-116.514487
Eastern Idaho Regional Medical Center,83404,43.421905,-112.011535
"Idaho Falls Community Hospital, Llc",83404,43.421905,-112.011535
Boundary Community Hospital,83805,48.867051,-116.540728
Lost Rivers Medical Center,83213,43.539315,-113.266776
Saint Alphonsus Medical Center - Nampa,83687,43.609971,-116.529134
West Valley Medical Center,83605,43.661908,-116.65629
Caribou Memorial Hospital,83276,42.747939,-111.508511
Cassia Regional Hospital,83318,42.439675,-113.815864
Clearwater Valley Hospital & Clinics,83544,46.490865,-116.151469
St Luke'S Elmore Medical Center,83647,43.400748,-115.522903
Franklin County Medical Center,83263,42.181249,-111.753213
Valor Health,83617,43.936819,-116.505193
North Canyon Medical Center,83330,42.951933,-114.707998
Syringa General Hospital,83530,45.919925,-116.084203
St Luke'S Jerome,83338,42.725104,-114.431903
Northern Idaho Advanced Care Hospital,83854,47.71934,-116.967308
Kootenai Health,83814,47.685687,-116.627768
Gritman Medical Center,83843,46.722245,-116.940158
Steele Memorial Medical Center,83467,44.979814,-113.896277
Madison Memorial Hospital,83440,43.81469,-111.822546
Minidoka Memorial Hospital,83350,42.694326,-113.579982
St Joseph Regional Medical Center,83501,46.208729,-116.913734
Nell J Redfield Memorial Hospital,83252,42.174414,-112.406564
Power County Hospital District,83211,42.701149,-113.028458
Shoshone Medical Center,83837,47.506543,-116.109692
Teton Valley Hospital,83422,43.728569,-111.231457
St Luke'S Magic Valley Rmc,83301,42.400555,-114.524876
Cascade Medical Center,83611,44.727247,-115.368064
St Luke'S Mccall,83638,45.067183,-115.96568
Weiser Memorial Hospital,83672,44.374148,-116.957099
Blessing Hospital,62305,39.928189,-91.343938
Hshs Holy Family Hospital,62246,38.890366,-89.427577
Perry Memorial Hospital,61356,41.396035,-89.413241
St Margarets Hospital,61362,41.358708,-89.23322
Osf Heart Of Mary Medical Center,61801,40.108966,-88.211024
The Carle Foundation Hospital,61801,40.108966,-88.211024
Pana Community Hospital,62557,39.396869,-89.104534
Taylorville Memorial Hospital,62568,39.561004,-89.289158
Sarah Bush Lincoln Health Center,61938,39.484141,-88.374771
Presence Holy Family Medical Center,60016,42.049573,-87.895003
Swedish Hospital,60625,41.973292,-87.700351
Thorek Memorial Hospital,60613,41.956949,-87.654272
Rml Health Providers Limited Partnership,60521,41.800683,-87.928172
John H Stroger Jr Hospital,60612,41.88032,-87.687749
Advocate Illinois Masonic Medical Center,60657,41.940293,-87.646857
St Bernard Hospital,60621,41.776382,-87.639572
Community First Medical Center,60634,41.946189,-87.806117
Advocate Trinity Hospital,60617,41.718197,-87.552739
West Suburban Medical Center,60302,41.894609,-87.789711
Rush Oak Park Hospital,60304,41.872389,-87.789483
Louis A Weiss Memorial Hospital,60640,41.972872,-87.662604
Saint Anthony Hospital,60623,41.848897,-87.717661
Adventist La Grange Memorial Hospital,60525,41.78383,-87.871802
Osf Little Company Of Mary Medical Center,60805,41.722001,-87.702446
Mercy Hospital And Medical Center,60616,41.844883,-87.624032
South Shore Hospital,60617,41.718197,-87.552739
Advocate Lutheran General Hospital,60068,42.011762,-87.843434
Presence Saint Joseph Hospital - Chicago,60657,41.940293,-87.646857
Advocate South Suburban Hospital,60429,41.574029,-87.683706
Northwest Community Hospital 1,60005,42.06449,-87.985462
Alexian Brothers Medical Center 1,60007,42.0086,-87.99734
Thc Chicago Inc Dba Kindred Chicago,60641,41.946606,-87.746787
Presence Saint Francis Hospital,60202,42.030355,-87.685549
Loyola Gottlieb Memorial Hospital,60160,41.904144,-87.860665
Northshore University Healthsystem Evanston Hosp,60201,42.056214,-87.692402
Loretto Hospital,60644,41.880084,-87.756373
Presence Saints Mary And Elizabeth Medical Center,60622,41.902172,-87.683337
Presence Resurrection Medical Center,60631,41.994855,-87.813003
Ingalls Memorial Hospital,60426,41.610343,-87.653395
Methodist Hospital Of Chicago,60640,41.972872,-87.662604
Norwegian-American Hospital,60622,41.902172,-87.683337
Advocate Christ Hospital & Medical Center,60453,41.713436,-87.75256
Loyola University Medical Center,60153,41.879283,-87.843251
Mt Sinai Hospital Medical Center,60608,41.84688,-87.670664
University Of Illinois Hospital,60612,41.88032,-87.687749
Macneal  Hospital,60402,41.835216,-87.791373
Ann & Robert H Lurie Childrens Hospital Of Chicago,60611,41.8957,-87.613775
Jackson Park Hospital,60649,41.76342,-87.565879
Franciscan Health Olympia & Chicago Heights,60461,41.522116,-87.700733
Northwestern Memorial Hospital,60611,41.8957,-87.613775
St Alexius Medical Center,60169,42.05087,-88.116615
Provident Hospital Of Chicago,60615,41.801647,-87.596288
Kindred Hospital - Chicago,60164,41.917512,-87.900699
Larabida Childrens Hospital I,60649,41.76342,-87.565879
The University Of Chicago Medical Center,60637,41.781621,-87.599876
Rush University Medical Center,60612,41.88032,-87.687749
Roseland Community Hospital,60628,41.690875,-87.615773
Palos Community Hospital,60463,41.662446,-87.789969
Crawford Memorial Hospital,62454,38.999665,-87.755852
Valley West Community Hospital,60548,41.649593,-88.640479
Kishwaukee Community Hospital,60115,41.901277,-88.761435
Thc Chicago Inc Dba Kindred Hosp,60178,42.008032,-88.661107
Warner Hospital And Health Services,61727,40.142554,-88.960868
Adventist Glenoaks,60139,41.918877,-88.078095
Adventist Hinsdale Hospital,60521,41.800683,-87.928172
Elmhurst Memorial Hospital,60126,41.896843,-87.94124
Advocate Good Samaritan Hospital,60515,41.810554,-88.022796
Edward Hospital,60540,41.76467,-88.145428
Central Dupage Hospital,60190,41.871784,-88.157015
Paris Community Hospital,61944,39.600845,-87.700643
St Anthonys Memorial Hospital,62401,39.118722,-88.562385
Fayette County Hospital,62471,38.946188,-89.130148
Gibson Community Hospital,60936,40.467849,-88.351997
Franklin Hospital,62812,37.997347,-88.916946
Graham Hospital Association,61520,40.539026,-90.023221
Thomas H Boyd Memorial Hospital,62016,39.295025,-90.431767
Morris Hospital & Healthcare Centers,60450,41.366293,-88.434561
Hamilton Memorial Hospital,62859,38.081344,-88.532699
Memorial Hospital,62321,40.409722,-91.095437
Hardin County General Hospital,62982,37.424825,-88.365319
Osf Saint Luke Medical Center,61443,41.263671,-89.944897
Hammond Henry Hospital,61254,41.46723,-90.14963
Iroquois Memorial Hospital,60970,40.796024,-87.734451
St Joseph Memorial Hospital,62966,37.775136,-89.350979
Memorial Hospital Of Carbondale,62901,37.739004,-89.209109
Good Samaritan Regional Hlth Center,62864,38.330493,-88.902519
Crossroads Community Hospital,62864,38.330493,-88.902519
Jersey Community Hospital,62052,39.110571,-90.321217
Midwest Medical Center,61036,42.413677,-90.375911
Presence Mercy Medical Center,60506,41.765703,-88.363853
Delnor Community Hospital,60134,41.878343,-88.342066
Advocate Sherman Hospital,60123,42.040644,-88.311296
Presence Saint Joseph Hospital - Elgin,60123,42.040644,-88.311296
Rush Copley Medical Center,60504,41.747452,-88.238622
Presence St Marys Hospital,60901,41.109505,-87.897917
Riverside Medical Center,60901,41.109505,-87.897917
Galesburg Cottage Hospital,61401,40.944205,-90.385824
Advocate Condell Medical Center,60048,42.295408,-87.950611
Lake Behavioral Hospital,60085,42.352097,-87.867656
Advocate Good Shepherd Hospital,60010,42.146494,-88.164651
Midwestern Region Med Center,60099,42.459988,-87.865021
Vista Medical Center East,60085,42.352097,-87.867656
Northwestern Lake Forest Hospital,60045,42.235997,-87.864777
Illinois Valley Community Hospital,61354,41.327928,-89.143248
Ottawa Regional Hospital & Healthcare Center,61350,41.372095,-88.865127
Osf Saint Paul Medical Center,61342,41.543677,-89.084088
Lawrence County Memorial Hospital,62439,38.744062,-87.639699
Katherine Shaw Bethea Hospital,61021,41.827392,-89.479188
Saint James Hospital,61764,40.882442,-88.628136
Abraham Lincoln Memorial Hospital,62656,40.140745,-89.370598
Mc Donough District Hospital,61455,40.440468,-90.638016
Mercy Harvard Hospital,60033,42.424786,-88.608011
Northwestern Medicine Mchenry Hospital,60050,42.331147,-88.29518
St Joseph Medical Center,61701,40.476769,-88.992994
Carle Bromenn Medical Center,61761,40.529016,-88.958935
Decatur Memorial Hospital,62526,39.901605,-88.989407
St Marys Hospital,62521,39.81707,-88.926317
Community Hospital Of Staunton,62088,39.01243,-89.799816
Carlinville Area Hospital,62626,39.282802,-89.883939
Anderson Hospital,62062,38.725931,-89.961315
Alton Memorial Hospital,62002,38.938538,-90.125303
Osf Saint Anthony'S Health Center,62002,38.938538,-90.125303
Gateway Regional Medical Center,62040,38.725838,-90.111791
Ssm Health St Mary'S Hospital -Centralia,62801,38.512863,-89.141837
Salem Township Hospital,62881,38.635332,-88.927356
Mason District Hospital,62644,40.287943,-90.054538
Massac Memorial Hospital,62960,37.225299,-88.709403
"Genesis Medical Center, Aledo",61231,41.21067,-90.717799
Hillsboro Area Hospital,62049,39.131717,-89.481382
Passavant Area Hospital,62650,39.734542,-90.223047
Rochelle Community Hospital,61068,41.945817,-89.060013
Greater Peoria Specialty Hospital,61605,40.676584,-89.633277
Methodist Medical Center Of Illinois,61636,36.41568569008179,-89.93698683895991
Proctor Hospital,61614,40.759136,-89.604123
Marshall Browning Hospital,62832,38.011822,-89.24891
Pinckneyville Community Hospital,62274,38.10003,-89.413973
Kirby Medical Center,61856,40.026762,-88.580118
Illini Community Hospital,62363,39.590496,-90.769665
Sparta Community Hospital,62286,38.11859,-89.715824
Red Bud Regional Hospital,62278,38.207527,-89.992598
Carle Richland Memorial Hospital,62450,38.713182,-88.089183
Trinity Rock Island,61201,41.477559,-90.575628
Genesis Health System,61282,41.495565,-90.41299
Hshs St Elizabeth'S Hospital,62269,38.599987,-89.915474
Touchette Regional Hospital Inc,62207,38.582466,-90.123247
Memorial Hospital East,62269,38.599987,-89.915474
Ferrell Hospital Community Foundations,62930,37.837843,-88.44109
Harrisburg Medical Center,62946,37.709862,-88.538845
St Johns Hospital,62769,36.41568569008179,-89.93698683895991
Sarah D Culbertson Memorial Hospital,62681,40.136241,-90.542754
Hshs Good Shepherd Hospital Inc,62565,39.411777,-88.804095
Fhn Memorial Hospital,61032,42.318004,-89.636784
Hopedale Hospital,61747,40.416123,-89.435255
Pekin Memorial Hospital,61554,40.539343,-89.61832
Union County Hospital,62906,37.462109,-89.17253
Hoopeston Community Memorial Hospital,60942,40.46538,-87.661377
Osf Sacred Heart Medical Center,61832,40.136234,-87.636466
Wabash General Hospital 1,62863,38.415834,-87.859872
Osf Holy Family Medical Center,61462,40.923313,-90.644576
Fairfield Memorial Hospital 1,62837,38.360406,-88.352856
Morrison Community Hospital,61270,41.826598,-89.963451
Cgh Medical Center,61081,41.833205,-89.737983
Adventist Bolingbrook Hospital,60440,41.7006,-88.075006
Silver Cross Hospital  And Medical Centers,60451,41.509217,-87.960579
Presence Saint Joseph Medical Center,60435,41.54859,-88.128928
Heartland Regional Medical Center,62959,37.718218,-88.910435
Herrin Hospital,62948,37.817138,-89.030678
Saint Anthony Medical Center,61108,42.257371,-89.002129
Mercyhealth Hospital Rockton Avenue,61103,42.340261,-89.086492
Swedish American Hospital,61104,42.25172,-89.079945
Carle Eureka Hospital,61530,40.714296,-89.260092
Adams Memorial Hospital,46733,40.828228,-84.940039
Parkview Regional Medical Center,46845,41.211995,-85.108804
Dupont Hospital Llc,46825,41.152413,-85.127091
Lutheran Hospital Of Indiana,46804,41.052918,-85.24165
The Orthopaedic Hospital Of Lutheran Health Networ,46804,41.052918,-85.24165
Columbus Regional Hospital,47201,39.158873,-85.993199
Indiana University Health Blackford Hospital,47348,40.466214,-85.340374
Witham Health Services,46052,40.042907,-86.456535
Clark Memorial Health,47130,38.332696,-85.696419
Ascension St Vincent Clay,47834,39.525549,-87.121971
Indiana University Health Frankfort Inc,46041,40.295035,-86.493864
Daviess Community Hospital,47501,38.66206,-87.173647
Highpoint Health,47025,39.165524,-84.866317
Decatur County Memorial Hospital,47240,39.305991,-85.478417
Parkview Dekalb Hospital,46706,41.341594,-85.032655
Indiana University Health Ball Memorial Hospital,47303,40.271643,-85.377772
Memorial Hospital And Health Care Center,47546,38.418779,-86.932557
Goshen General Hospital,46526,41.55878,-85.876662
Elkhart General Hospital,46514,41.722641,-85.976908
Baptist Health Floyd,47150,38.283506,-85.847601
Woodlawn Hospital,46975,41.075438,-86.250139
Deaconess Gibson Hospital,47670,38.344905,-87.584786
Marion General Hospital,46952,40.599427,-85.629225
Greene County General Hospital,47441,39.044695,-87.165501
Riverview Health,46060,40.064624,-85.915911
Ascension St Vincent Heart Center,46290,39.938421,-86.163234
Indiana University Health North Hospital,46032,39.962604,-86.174761
Ascension St Vincent Fishers,46037,39.960563,-85.947162
Ascension St Vincent Carmel,46032,39.962604,-86.174761
Hancock Regional Hospital,46140,39.801973,-85.772071
Harrison County Hospital,47112,38.195517,-86.162499
Iu Health West Hospital,46123,39.764395,-86.403457
Hendricks Regional Health,46122,39.773312,-86.551134
Henry County Memorial Hospital,47362,39.930459,-85.36958
Community Howard Regional Health Inc,46902,40.437275,-86.094553
Ascension St Vincent Kokomo,46904,36.41568569008179,-89.93698683895991
Parkview Huntington Hospital,46750,40.87846,-85.496399
Schneck Medical Center,47274,38.966511,-85.937722
"Franciscan Health Rensselaer, Inc",47978,40.986173,-87.112979
Iu Health Jay,47371,40.418997,-84.962799
King'S Daughters' Health,47250,38.815317,-85.351135
Ascension St Vincent Jennings,47265,39.014661,-85.629937
Kosciusko Community Hospital,46580,41.213832,-85.869547
Parkview Lagrange Hospital,46761,41.63445,-85.377399
St Mary Medical Center Inc,46342,41.518185,-87.244908
Methodist Hospitals Inc,46402,41.599334,-87.330662
Franciscan Health Hammond,46320,41.691764,-87.510917
Vibra Hospital Of Northwestern Indiana,46307,41.403937,-87.326039
Franciscan Health Dyer,46311,41.465084,-87.508915
Regency Hospital Of Northwest Indiana,46312,41.646953,-87.453983
Franciscan Health Crown Point,46307,41.403937,-87.326039
Kindred Hospital Northwest Indiana,46320,41.691764,-87.510917
Pinnacle Hospital,46307,41.403937,-87.326039
St Catherine Hospital Inc,46312,41.646953,-87.453983
Franciscan Health Munster,46321,41.54751,-87.503268
Franciscan Health Michigan City,46360,41.68934,-86.869265
Northwest Health-La Porte,46350,41.607057,-86.721724
Indiana University Health Bedford Hospital,47421,38.863494,-86.45223
Ascension St Vincent Dunn,47421,38.863494,-86.45223
Ascension St Vincent Anderson,46016,40.097817,-85.681513
Ascension St Vincent Mercy,46036,40.295166,-85.831108
Community Hospital Of Anderson And Madison County,46011,40.129994,-85.760692
Kindred Hospital Indianapolis North,46250,39.898839,-86.05872
Indiana University Health,46202,39.784102,-86.163477
Community Hospital North,46256,39.908383,-86.013138
Kindred Hospital Indianapolis,46222,39.790968,-86.21526
Franciscan Health Indianapolis,46237,39.671143,-86.07211
Orthoindy Hospital,46278,39.892946,-86.29805
Ascension St Vincent Seton Specialty Hospital,46260,39.898143,-86.177595
Community Hospital South,46227,39.674763,-86.132676
Ascension St Vincent Hospital,46260,39.898143,-86.177595
Eskenazi Health,46202,39.784102,-86.163477
Community Hospital East,46219,39.782412,-86.042939
Saint Joseph Regional Medical Center - Plymouth,46563,41.356728,-86.327261
Community Hospital Of Bremen Inc,46506,41.462622,-86.1724
Dukes Memorial Hospital,46970,40.760125,-86.061471
Monroe Hospital,47403,39.085219,-86.61234
Iu Health Bloomington Hospital,47403,39.085219,-86.61234
Franciscan Health Crawfordsville,47933,40.038913,-86.896849
Franciscan Health Mooresville,46158,39.579356,-86.373602
Parkview Noble Hospital,46755,41.44922,-85.275147
Indiana University Health Paoli Hospital,47454,38.510025,-86.451821
Perry County Memorial Hospital,47586,38.039096,-86.701995
Northwest  Health- Porter,46383,41.463199,-87.007505
Pulaski Memorial Hospital,46996,41.062011,-86.657974
Putnam County Hospital,46135,39.654571,-86.893996
Ascension St Vincent Randolph,47394,40.167974,-84.987308
Margaret Mary Health,47006,39.291996,-85.215884
Rush Memorial Hospital,46173,39.60088,-85.430616
Memorial Hospital Of South Bend,46601,41.670274,-86.252661
Saint Joseph Regional Medical Center,46545,41.693766,-86.146824
Scott Memorial Health,47170,38.685201,-85.844056
Major Hospital,46176,39.527281,-85.774394
Northwest Health- Starke ,46534,41.285345,-86.617818
Cameron Memorial Community Hospital Inc,46703,41.649589,-85.00655
Sullivan County Community Hospital,47882,39.091315,-87.410855
Indiana University Health Arnett Hospital,47905,40.420015,-86.766044
Franciscan Health Lafayette,47905,40.420015,-86.766044
Indiana University Health Tipton Hospital Inc,46072,40.286104,-86.067353
Deaconess Hospital Inc,47747,36.41568569008179,-89.93698683895991
Select Specialty Hospital-Evansville,47713,37.954531,-87.559175
Ascension St Vincent Evansville,47750,36.41568569008179,-89.93698683895991
Union Hospital Clinton,47842,39.678584,-87.463596
Union Hospital Inc,47804,39.497812,-87.389953
Terre Haute Regional Hospital,47802,39.351016,-87.411897
"Parkview Wabash Hospital, Inc",46992,40.787305,-85.826434
Ascension St Vincent Williamsport,47993,40.309014,-87.412707
Women'S Hospital The,47630,37.952897,-87.34647
Ascension St Vincent Warrick,47601,38.051443,-87.254533
Ascension St Vincent Salem,47167,38.61146,-86.095905
Reid Health,47374,39.832079,-84.889699
Bluffton Regional Medical Center,46714,40.722652,-85.176526
Indiana University Health White Memorial Hospital,47960,40.779015,-86.751024
Parkview Whitley Hospital,46725,41.148544,-85.475768
Adair County Memorial Hospital,50849,41.308278,-94.38657
Chi Health  - Mercy Corning,50841,41.009072,-94.768812
Veterans Memorial Hospital,52172,43.270781,-91.484427
Mercyone Centerville Medical Center,52544,40.706642,-92.912272
Audubon County Memorial Hospital,50025,41.757959,-94.923571
Virginia Gay Hospital,52349,42.173246,-92.00963
Mercyone Cedar Falls Medical Center,50613,42.53138,-92.485808
Mercyone Waterloo Medical Center,50702,42.461479,-92.313749
Allen Hospital,50703,42.548059,-92.286431
Boone County Hospital,50036,42.085554,-93.864204
Community Memorial Hospital Medical Center,50674,42.837805,-92.11543
Waverly Health Center,50677,42.766935,-92.426212
Buchanan County Health Center,50644,42.476151,-91.893691
Buena Vista Regional Medical Center,50588,42.654596,-95.161555
Stewart Memorial Community Hospital,51449,42.267823,-94.734406
St Anthony Regional Hospital & Nursing Home,51401,42.065661,-94.86966
Manning Regional Healthcare Center,51455,41.911565,-95.055142
Cass County Memorial Hospital,50022,41.414374,-94.996402
Mercyone North Iowa Medical Center,50401,43.153169,-93.19982
Cherokee Regional Medical Center,51012,42.744137,-95.561849
Mercyone New Hampton Medical Center,50659,43.095838,-92.329051
Clarke County Hospital,50213,41.031685,-93.766137
Spencer Municipal Hospital,51301,43.15317,-95.147654
Guttenberg Municipal Hospital,52052,42.742443,-91.116701
Mercyone Elkader Medical Center,52043,42.83402,-91.426319
Genesis Medical Center-Dewitt,52742,41.838263,-90.5197
Mercyone Clinton Medical Center,52732,41.891044,-90.253005
Crawford County Memorial Hospital,51442,42.027498,-95.360635
Dallas County Hospital,50220,41.836423,-94.121285
Davis County Hospital,52537,40.734988,-92.413618
Decatur County Hospital,50144,40.73905,-93.7408
Regional Medical Center,52057,42.489481,-91.455885
Lakes Regional Healthcare,51360,43.443563,-95.08703
Mercyone Dyersville Medical Center,52040,42.503666,-91.141684
Finley Hospital,52001,42.545527,-90.695841
Mercyone Dubuque Medical Center,52001,42.545527,-90.695841
Avera Holy Family Hospital,51334,43.404109,-94.805056
Mercyone Oelwein Medical Center,50662,42.688662,-91.937486
Gundersen Palmer Lutheran Hospital And Clinics,52175,42.993945,-91.825624
Floyd County Medical Center,50616,43.080601,-92.658742
Franklin General Hospital,50441,42.74134,-93.220973
George C Grape Community Hospital,51640,40.623488,-95.656223
Greene County Medical Center,50129,42.014771,-94.376743
Grundy County Memorial Hospital,50638,42.35674,-92.793956
Guthrie County Hospital,50115,41.68324,-94.561556
Van Diest Medical Center,50595,42.461417,-93.822578
Hancock County Health System,50423,43.118224,-93.814465
Hansen Family Hospital,50126,42.494379,-93.2554
