hospital,hhsname,hospital_id,lat,long,total_beds,total_occupancy,total_load,icu_beds,icu_occupancy,icu_load
Baptist Hospital,BAPTIST HOSPITAL,100093,30.4294815,-87.2312753,217.0,183.4,0.8451612903225807,55.0,45.9,0.8345454545454545
Baptist Hospital of Miami,BAPTIST HOSPITAL OF MIAMI,100008,25.6867082,-80.3368029,649.0,638.9,0.984437596302003,88.0,82.6,0.9386363636363636
Baptist Medical Center,BAPTIST MEDICAL CENTER,450058,29.4337636,-98.4927788,1847.9,861.4,0.4661507657340765,112.6,108.3,0.9618117229129662
Baptist Medical Center – Beaches,BAPTIST MEDICAL CENTER - BEACHES,100117,30.2735349,-81.39816309999999,135.0,115.6,0.8562962962962962,24.0,20.6,0.8583333333333334
Baptist Medical Center – Nassau,BAPTIST MEDICAL CENTER - NASSAU,100140,30.6531443,-81.4485844,50.0,37.1,0.742,8.0,6.6,0.825
Baptist Medical Center East,BAPTIST MEDICAL CENTER EAST,010149,32.3760239,-86.1748584,185.0,133.9,0.7237837837837838,12.0,19.1,1.5916666666666668
Baptist Medical Center Jacksonville,BAPTIST MEDICAL CENTER JACKSONVILLE,100088,30.315687,-81.6637016,810.0,737.3,0.9102469135802469,118.0,93.3,0.7906779661016949
Baptist Medical Center South,BAPTIST MEDICAL CENTER SOUTH,010023,32.3280315,-86.27760219999999,417.0,347.9,0.8342925659472421,62.0,66.4,1.070967741935484
Baptist Medical Center-Attala,BAPTIST MEDICAL CENTER-ATTALA,251336,33.066129,-89.5882702,45.0,13.3,0.29555555555555557,0.0,0.0,0.0
Baptist Medical Center-Leake,BAPTIST MEDICAL CENTER-LEAKE,251315,32.7278532,-89.54945,40.0,21.3,0.5325,0.0,0.0,0.0
Baptist Medical Center-Yazoo,BAPTIST MEDICAL CENTER-YAZOO,251313,32.8589684,-90.4043083,30.0,12.7,0.4233333333333333,0.0,0.0,0.0
Baptist Memorial Hospital,BAPTIST MEMORIAL HOSPITAL,440048,35.1291678,-89.86128529999999,776.0,666.3,0.8586340206185566,101.0,93.6,0.9267326732673267
Baptist Memorial Hospital – Carroll County,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,440016,36.022853,-88.412037,47.0,27.1,0.5765957446808511,6.0,0.0,0.0
Baptist Memorial Hospital Booneville,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,250044,34.6575889,-88.56559159999999,160.0,18.1,0.113125,5.0,0.0,0.0
Baptist Memorial Hospital Desoto,BAPTIST MEMORIAL HOSPITAL DESOTO,250141,34.9697503,-89.99696229999999,421.0,258.9,0.6149643705463183,26.0,24.0,0.9230769230769231
Baptist Memorial Hospital North Mississippi,BAPTIST MEMORIAL HOSPITAL NORTH MS,250034,34.348065,-89.5201599,241.0,171.3,0.7107883817427386,14.0,19.0,1.3571428571428572
Baptist Memorial Hospital Tipton,BAPTIST MEMORIAL HOSPITAL TIPTON,440131,35.5357475,-89.6777946,57.0,20.1,0.35263157894736846,13.0,0.0,0.0
Baptist Memorial Hospital Union City,BAPTIST MEMORIAL HOSPITAL UNION CITY,440130,36.4143988,-89.0447272,147.0,25.7,0.17482993197278912,32.0,4.9,0.153125
Baptist Memorial Hospital Union County,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,250006,34.49699,-89.0279582,104.0,40.6,0.3903846153846154,8.0,4.3,0.5375
Baptist Memorial Hospital-Crittenden,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,35.1679922,-90.1778757,22.0,4.7,0.21363636363636365,0.0,0.0,0.0
Baptist Emergency Hospital,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,670078,29.5878278,-98.4734862,99.3,10.0,0.10070493454179255,0.0,0.0,0.0
Baptist St. Anthony’s Hospital,BAPTIST ST ANTHONY'S HOSPITAL,450231,35.198228,-101.9213931,324.6,321.6,0.9907578558225508,44.0,44.0,1.0
Baraga County Memorial Hospital,BARAGA COUNTY MEMORIAL HOSPITAL,231307,46.7316964,-88.4234819,15.0,5.9,0.39333333333333337,0.0,0.0,0.0
Barbourville A.R.H. Hospital,BARBOURVILLE ARH HOSPITAL,181328,36.8512952,-83.8702464,25.0,19.6,0.784,6.0,5.9,0.9833333333333334
Barlow Respiratory Hospital,BARLOW RESPIRATORY HOSPITAL,052031,34.0761441,-118.2483681,80.0,61.0,0.7625,6.0,5.0,0.8333333333333334
Barnes Jewish Hospital,BARNES JEWISH HOSPITAL,260032,38.6352373,-90.2650845,1136.1,924.0,0.8133086876155269,183.0,152.4,0.8327868852459017
Barnes-Jewish St. Peters Hospital,BARNES-JEWISH ST PETERS HOSPITAL,260191,38.7937645,-90.5794378,87.3,87.3,1.0,8.9,8.7,0.9775280898876403
Barnes-Jewish West County Hospital,BARNES-JEWISH WEST COUNTY HOSPITAL,260162,38.676294,-90.4685198,43.4,39.9,0.9193548387096774,4.0,0.0,0.0
Barnes-Kasson County Hospital,BARNES-KASSON COUNTY HOSPITAL,391309,41.9465461,-75.5923913,21.0,8.6,0.4095238095238095,0.0,0.0,0.0
Barnesville Hospital Association,"BARNESVILLE HOSPITAL ASSOCIATION, INC",361321,39.9932171,-81.1887015,10.0,5.4,0.54,0.0,0.0,0.0
Barrett Hospital & Healthcare,BARRETT HOSPITAL & HEALTHCARE,271318,45.2016454,-112.6469019,18.0,6.6,0.36666666666666664,0.0,0.0,0.0
Barstow Community Hospital,BARSTOW COMMUNITY HOSPITAL,050298,34.8921713,-117.0166969,33.8,29.7,0.878698224852071,4.7,5.6,1.1914893617021276
Bartlett Regional Hospital,BARTLETT REGIONAL HOSPITAL,020008,58.32901640000001,-134.4649167,53.9,38.3,0.7105751391465677,9.0,4.7,0.5222222222222223
Barton Memorial Hospital,BARTON MEMORIAL HOSPITAL,050352,38.911859,-119.9968156,28.9,25.3,0.8754325259515572,6.0,4.0,0.6666666666666666
Bartow Regional Medical Center,BARTOW REGIONAL MEDICAL CENTER,100121,27.9186774,-81.8437812,72.0,45.3,0.6291666666666667,14.0,12.9,0.9214285714285715
Bates County Memorial Hospital,BATES COUNTY MEMORIAL HOSPITAL,260034,38.2487991,-94.342866,12.3,9.1,0.7398373983739837,4.0,0.0,0.0
Bath Community Hospital,BATH COMMUNITY HOSPITAL,491300,37.9927952,-79.8318628,25.0,5.7,0.228,0.0,0.0,0.0
Baton Rouge General Medical Center,BATON ROUGE GENERAL MEDICAL CENTER,190065,30.39344699999999,-91.0946403,290.0,231.0,0.7965517241379311,48.0,34.4,0.7166666666666667
Battle Mountain General Hospital,BATTLE MOUNTAIN GENERAL HOSPITAL,291303,40.6421548,-116.9367769,5.0,0.0,0.0,0.0,0.0,0.0
Baxter Regional Medical Center,BAXTER REGIONAL MEDICAL CENTER,040027,36.3429502,-92.3944185,222.0,166.7,0.7509009009009009,19.0,16.3,0.8578947368421053
Baxter Regional Medical Center,BAXTER REGIONAL MEDICAL CENTER,04T027,36.3429502,-92.3944185,23.0,17.7,0.7695652173913043,0.0,0.0,0.0
Bay Area Hospital,BAY AREA HOSPITAL,380090,43.3835039,-124.2329295,101.9,87.0,0.8537782139352306,8.6,8.6,1.0
Bay Park Community Hospital,BAY PARK COMMUNITY HOSPITAL,360259,41.6207872,-83.4799506,52.7,46.0,0.8728652751423149,8.1,7.0,0.8641975308641976
Bayamón Medical Center,BAYAMON MEDICAL CENTER,400032,18.3967595,-66.16256469999999,334.6,245.6,0.7340107591153615,16.0,13.3,0.83125
Baycare Alliant Hospital,BAYCARE ALLIANT HOSPITAL,102021,28.0139213,-82.78291200000001,35.0,28.6,0.8171428571428572,5.3,5.3,1.0
Bayfront Health – St. Petersburg,BAYFRONT HEALTH ST PETERSBURG,100032,27.7634827,-82.642014,240.0,198.4,0.8266666666666667,32.0,30.4,0.95
"Bayhealth Hospital, Kent Campus","BAYHEALTH HOSPITAL, KENT CAMPUS",080004,39.1512074,-75.52333949999999,277.0,285.9,1.032129963898917,29.0,27.1,0.9344827586206897
"Bayhealth Hospital, Sussex Campus","BAYHEALTH HOSPITAL, SUSSEX CAMPUS",080009,38.8868357,-75.3911438,153.0,118.7,0.7758169934640523,10.0,9.7,0.97
Baylor Scott and White Emergency Hospital Aubrey,BAYLOR EMERGENCY MEDICAL CENTER,670062,33.2206581,-96.9135249,10.9,6.0,0.5504587155963303,0.0,0.0,0.0
Baylor Medical Center At Frisco,BAYLOR MEDICAL CENTER AT FRISCO,450853,33.1052,-96.8375358,40.0,40.0,1.0,0.0,0.0,0.0
Baylor Medical Center At Trophy Club,BAYLOR MEDICAL CENTER AT TROPHY CLUB,450883,32.9885026,-97.17488569999999,28.3,8.1,0.2862190812720848,0.0,0.0,0.0
Baylor Regional Medical Center At Plano,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,450890,33.0133231,-96.790729,117.1,114.1,0.9743808710503843,21.6,20.6,0.9537037037037037
Baylor Scott &  White Medical Center – Centennial,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,450885,33.1141843,-96.77097739999999,63.6,60.3,0.9481132075471698,8.0,7.4,0.925
Baylor Scott & White Continuing Care Hospital,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,452105,31.1209066,-97.39910119999999,46.9,43.9,0.9360341151385928,27.7,27.7,1.0
Baylor Scott & White  Clinic – Temple,BAYLOR SCOTT & WHITE MEDICAL  CENTER - TEMPLE,450054,31.0776472,-97.36397919999999,500.1,489.7,0.9792041591681663,88.6,88.6,1.0
Baylor Scott & White Medical Center Grapevine,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,450563,32.9341295,-97.0935488,217.4,216.4,0.9954001839926403,17.9,17.9,1.0
Baylor Scott & White Medical Center – Llano,BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO,450219,30.7427697,-98.6775504,0.0,0.0,0.0,0.0,0.0,0.0
Baylor Scott & White Medical Center – Marble Falls,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,670108,30.5129753,-98.3044814,40.3,40.1,0.9950372208436725,7.9,7.9,1.0
Baylor Scott & White Medical Center – Taylor,BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR,451374,30.591104,-97.4153226,24.0,6.0,0.25,0.0,0.0,0.0
Baylor Scott & White Medical Center Hillcrest,BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST,450101,31.4890708,-97.1576467,197.1,195.9,0.9939117199391173,23.3,22.9,0.982832618025751
Baylor Scott & White Medical Center – Buda,BAYLOR SCOTT & WHITE MEDICAL CENTER – BUDA,670131,30.0770826,-97.82000579999999,13.4,6.6,0.4925373134328358,0.0,0.0,0.0
Baylor Scott & White Medical Center – Pflugerville,BAYLOR SCOTT & WHITE MEDICAL CENTER – PFLUGERVILLE,670128,30.4514651,-97.59126169999999,22.4,18.7,0.8348214285714286,0.0,0.0,0.0
Baylor Scott & White Medical Center – Austin,BAYLOR SCOTT & WHITE MEDICAL CENTER- AUSTIN,670136,30.2360142,-97.83612900000001,18.0,9.7,0.5388888888888889,0.0,0.0,0.0
Baylor Scott & White Medical Center – College Station,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,670088,30.5822251,-96.2795053,155.7,113.9,0.7315350032113038,14.1,13.3,0.9432624113475178
Baylor Scott & White Medical Center – Waxahachie,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,450372,32.4274679,-96.8579635,117.9,117.6,0.9974554707379134,12.0,12.0,1.0
Baylor Scott & White Texas Spine & Joint Hospital,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL,450864,32.3295556,-95.2986526,33.9,14.6,0.4306784660766962,0.0,0.0,0.0
Baylor Scott and White Medical Center McKinney,BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,670082,33.2211103,-96.6824261,164.4,156.4,0.9513381995133819,15.1,15.1,1.0
Baylor Scott and White All Saints Medical Center,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,450137,32.7296584,-97.345135,290.3,283.0,0.974853599724423,40.7,39.6,0.9729729729729729
Baylor Scott and White Emergency Hospital Burleson,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,670107,32.575406,-97.32121800000002,6.0,5.0,0.8333333333333334,0.0,0.0,0.0
Baylor Scott and White Heart and Vascular Hospital,BAYLOR SCOTT AND WHITE HEART AND VASCULAR HOSPITAL,450851,32.7881695,-96.7807974,33.4,33.4,1.0,0.0,0.0,0.0
Baylor Medical Center At Irving,BAYLOR SCOTT AND WHITE MEDICAL CENTER  IRVING,450079,32.8346954,-96.9603078,193.4,179.9,0.9301964839710445,21.1,18.9,0.895734597156398
Baylor Scott and White Medical Center Lake Pointe,BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE,450742,32.9181073,-96.5087101,108.0,108.0,1.0,6.4,6.4,1.0
Baylor Scott and White Medical Center Sunnyvale,BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,670060,32.7789657,-96.5692005,60.3,60.0,0.9950248756218906,8.0,8.0,1.0
Baylor Scott and White Orthopedic and Spine Hospital,BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI,670067,32.6829476,-97.11684290000001,79.9,25.1,0.3141426783479349,0.0,0.0,0.0
Baylor Scott and White Surgical Hospital At Sherman,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,670076,33.6767819,-96.6017824,12.0,6.7,0.5583333333333333,0.0,0.0,0.0
Baylor Scott and White Surgical Hospital Fortworth,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH,450880,32.7272643,-97.3469805,0.0,0.0,0.0,0.0,0.0,0.0
Baylor Scott and White Surgical Hospital Las Colinas,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL LAS COLIN,450874,32.912326,-96.9515222,12.6,7.9,0.626984126984127,0.0,0.0,0.0
Baylor University Medical Center,BAYLOR UNIVERSITY MEDICAL CENTER,450021,32.790788,-96.7792576,676.9,676.3,0.999113606145664,105.6,105.6,1.0
Bayshore Medical Center,BAYSHORE MEDICAL CENTER,310112,40.4054853,-74.1917012,172.0,116.1,0.6749999999999999,26.0,13.4,0.5153846153846154
Bayside Community Hospital,BAYSIDE COMMUNITY HOSPITAL,451320,29.7525022,-94.68746879999999,35.9,0.0,0.0,0.0,0.0,0.0
Baystate Franklin Medical Center,BAYSTATE FRANKLIN MEDICAL CENTER,220016,42.5962034,-72.5923856,79.0,57.6,0.7291139240506329,4.0,0.0,0.0
Baystate Medical Center,BAYSTATE MEDICAL CENTER,220077,42.1216158,-72.6037013,717.0,625.0,0.8716875871687587,90.0,54.4,0.6044444444444445
Baystate Noble Hospital,BAYSTATE NOBLE HOSPITAL,220065,42.1183618,-72.759812,71.7,60.3,0.8410041841004183,0.0,0.0,0.0
Baystate Wing Hospital and Medical Centers,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,220030,42.1694156,-72.341697,91.0,70.4,0.7736263736263737,0.0,0.0,0.0
Beacham Memorial Hospital,BEACHAM MEMORIAL HOSPITAL,250049,31.1458357,-90.45956149999999,31.0,14.3,0.4612903225806452,0.0,0.0,0.0
Bear Lake Memorial Hospital,BEAR LAKE MEMORIAL HOSPITAL,131316,42.3162779,-111.3002455,14.0,6.3,0.45,0.0,0.0,0.0
Bear River Valley Hospital,BEAR RIVER VALLEY HOSPITAL,460039,41.71884439999999,-112.181747,14.0,4.0,0.2857142857142857,0.0,0.0,0.0
Bear Valley Community Hospital,BEAR VALLEY COMMUNITY HOSPITAL,051335,34.2465111,-116.8884951,9.0,4.3,0.47777777777777775,0.0,0.0,0.0
Beartooth Billings Clinic,BEARTOOTH BILLINGS CLINIC,271326,45.212402,-109.2439266,10.0,6.1,0.61,0.0,0.0,0.0
"Beatrice Community Hospital & Health Center, Inc.","BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",281364,40.3161806,-96.7495665,22.0,13.7,0.6227272727272727,0.0,0.0,0.0
Beaufort County Memorial Hospital,BEAUFORT COUNTY MEMORIAL HOSPITAL,420067,32.4170217,-80.6875651,151.0,138.4,0.9165562913907285,12.0,11.4,0.9500000000000001
Beaumont Hospital – Dearborn,BEAUMONT HOSPITAL - DEARBORN,230020,42.2901468,-83.2140457,450.0,370.6,0.8235555555555556,46.0,33.3,0.7239130434782608
Beaumont Hospital – Farmington Hills,BEAUMONT HOSPITAL - FARMINGTON HILLS,230151,42.4437325,-83.3245903,224.9,217.6,0.9675411293908404,20.1,20.0,0.9950248756218905
Beaumont Hospital – Taylor,BEAUMONT HOSPITAL - TAYLOR,230270,42.2335313,-83.2696685,189.0,116.1,0.6142857142857142,16.0,9.7,0.60625
Beaumont Hospital – Trenton,BEAUMONT HOSPITAL - TRENTON,230176,42.1170433,-83.2137412,175.0,132.4,0.7565714285714286,28.0,25.0,0.8928571428571429
Beaumont Hospital – Wayne,BEAUMONT HOSPITAL - WAYNE,230142,42.27342730000001,-83.36459459999999,99.7,93.1,0.9338014042126378,15.0,11.7,0.7799999999999999
"Beaumont Hospital, Grosse Pointe","BEAUMONT HOSPITAL, GROSSE POINTE",230089,42.3844125,-82.91468929999999,196.0,134.0,0.6836734693877551,17.0,11.1,0.6529411764705882
"Beaumont Hospital, Royal Oak","BEAUMONT HOSPITAL, ROYAL OAK",230130,42.51471129999999,-83.19172119999999,968.0,771.1,0.7965909090909091,100.0,89.1,0.8909999999999999
"Beaumont Hospital, Troy","BEAUMONT HOSPITAL, TROY",230269,42.6182284,-83.0926592,504.0,411.7,0.8168650793650793,60.0,45.3,0.755
Beauregard Memorial Hospital,BEAUREGARD MEMORIAL HOSPITAL,190050,30.8415571,-93.288339,30.0,25.0,0.8333333333333334,6.0,5.4,0.9
Beaver County Memorial Hospital,BEAVER COUNTY MEMORIAL HOSPITAL,371322,36.8107319,-100.5169997,12.0,0.0,0.0,0.0,0.0,0.0
Beaver Valley Hospital,BEAVER VALLEY HOSPITAL,461335,38.2890533,-112.6437214,29.0,18.4,0.6344827586206896,0.0,0.0,0.0
Beckley ARH Hospital,BECKLEY ARH HOSPITAL,510062,37.7985276,-81.1681176,125.0,114.9,0.9192,11.0,10.4,0.9454545454545454
Beebe Medical Center,BEEBE MEDICAL CENTER,080007,38.7726305,-75.144277,193.0,189.3,0.9808290155440416,20.0,16.7,0.835
Bell Hospital,BELL HOSPITAL,231321,46.5047802,-87.68455519999999,25.0,9.4,0.376,0.0,0.0,0.0
Bella Vista Hospital,BELLA VISTA HOSPITAL,400014,18.2013452,-67.1451549,144.0,43.0,0.2986111111111111,9.0,4.0,0.4444444444444444
Bellevue Hospital,BELLEVUE HOSPITAL,360107,41.2880045,-82.8817254,29.0,11.3,0.3896551724137931,7.0,4.0,0.5714285714285714
Bellevue Hospital Center,BELLEVUE HOSPITAL CENTER,330204,40.7396579,-73.9763163,744.4,508.4,0.6829661472326706,92.4,82.1,0.8885281385281384
Bellevue Medical Center,"BELLEVUE MEDICAL CENTER, LLC",280132,41.1372483,-95.94799979999999,71.9,60.7,0.8442280945757997,8.0,6.6,0.825
Bellin Health Oconto Hospital,BELLIN HEALTH OCONTO HOSPITAL,521356,44.8963283,-87.8654865,8.0,7.0,0.875,0.0,0.0,0.0
Bellin Memorial Hospital,BELLIN MEMORIAL HOSPITAL,520049,44.5021822,-88.0116943,172.2,141.2,0.8199767711962834,22.0,13.7,0.6227272727272727
Bellville St. Joseph Health Center,BELLVILLE ST JOSEPH HEALTH CENTER,450253,29.9531252,-96.2601684,12.3,6.7,0.5447154471544715,0.0,0.0,0.0
Beloit Memorial Hospital,BELOIT MEMORIAL HOSPITAL,520100,42.5486756,-89.00822319999999,111.3,68.1,0.6118598382749326,22.0,12.1,0.5499999999999999
Belton Regional Medical Center,BELTON REGIONAL MEDICAL CENTER,260214,38.8158823,-94.5028554,48.0,29.4,0.6124999999999999,5.3,4.7,0.8867924528301887
Benefis Hospitals ,BENEFIS HOSPITALS INC,270012,47.4911874,-111.2594192,160.0,160.0,1.0,21.0,19.1,0.9095238095238096
Benefis Teton Medical Center,BENEFIS TETON MEDICAL CENTER,271307,47.814359,-112.192751,5.0,0.0,0.0,0.0,0.0,0.0
Benewah Community Hospital,BENEWAH COMMUNITY HOSPITAL,131317,47.3146852,-116.5673181,8.0,4.1,0.5125,0.0,0.0,0.0
Benson Hospital,BENSON HOSPITAL,031301,31.9649438,-110.3084953,17.0,4.4,0.25882352941176473,0.0,0.0,0.0
Bergen New Bridge Medical Center,BERGEN NEW BRIDGE MEDICAL CENTER,310058,40.9568915,-74.0630834,448.0,326.6,0.7290178571428572,15.0,5.0,0.3333333333333333
Berger Hospital,BERGER HOSPITAL,360170,39.6103822,-82.93623819999999,64.0,33.7,0.5265625,8.0,5.6,0.7
Berkeley Medical Center,BERKELEY MEDICAL CENTER,510008,39.476443,-77.980184,157.0,149.4,0.9515923566878981,20.0,16.3,0.8150000000000001
Berkshire Medical Center ,BERKSHIRE MEDICAL CENTER INC - 1,220046,42.4598841,-73.2488563,258.6,190.7,0.7374323279195668,16.0,8.4,0.525
Bertrand Chaffee Hospital,BERTRAND CHAFFEE HOSPITAL,330111,42.5092539,-78.65892099999999,12.3,11.3,0.9186991869918699,0.0,0.0,0.0
Berwick Hospital Center,BERWICK HOSPITAL CENTER,390072,41.0711307,-76.2317715,18.0,5.6,0.3111111111111111,4.0,4.0,1.0
Beth Israel Deaconess Hospital – Needham,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,220083,42.2770426,-71.2366552,64.4,60.1,0.9332298136645962,7.0,5.9,0.8428571428571429
Beth Israel Deaconess Hospital – Plymouth,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,220060,41.9430573,-70.64528709999999,187.3,182.6,0.974906567004805,14.0,13.0,0.9285714285714286
Beth Israel Deaconess Hospital-Milton,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,220108,42.2514407,-71.0771688,76.1,68.0,0.8935611038107754,8.0,4.9,0.6125
Beth Israel Deaconess Medical Center,BETH ISRAEL DEACONESS MEDICAL CENTER,220086,42.3396063,-71.10498199999999,718.7,700.1,0.9741199387783498,74.6,67.9,0.9101876675603219
Bethesda Hospital East,BETHESDA HOSPITAL EAST,100002,26.5042025,-80.0702956,406.6,311.4,0.7658632562715199,49.0,27.9,0.5693877551020408
Bethesda North,BETHESDA NORTH,360179,39.2521028,-84.3411343,348.0,316.4,0.9091954022988505,61.0,53.4,0.8754098360655738
Betsy Johnson Regional Hospital,BETSY JOHNSON REGIONAL  HOSPITAL,340071,35.3073087,-78.6350862,104.1,95.3,0.9154658981748319,14.0,13.4,0.9571428571428572
Beverly Hospital,BEVERLY HOSPITAL,050350,34.0150831,-118.100165,186.0,145.3,0.7811827956989248,25.0,17.4,0.696
Beverly Hospital Corporation,BEVERLY HOSPITAL CORPORATION,220033,42.5644962,-70.8758405,219.0,218.0,0.9954337899543378,10.4,9.4,0.9038461538461539
Bibb Medical Center,BIBB MEDICAL CENTER,010058,32.9512234,-87.1481336,30.0,16.1,0.5366666666666667,0.0,0.0,0.0
Bienville Medical Center,BIENVILLE MEDICAL CENTER,191320,32.5539634,-92.91313559999999,16.0,8.9,0.55625,0.0,0.0,0.0
Big Bend Regional Medical Center,BIG BEND REGIONAL MEDICAL CENTER,451378,30.3842098,-103.6707443,36.7,16.0,0.435967302452316,0.0,0.0,0.0
Big Horn Hospital,BIG HORN HOSPITAL,271338,45.72905919999999,-107.6165006,17.0,5.7,0.33529411764705885,0.0,0.0,0.0
Big Sandy Medical Center,BIG SANDY MEDICAL CENTER,271311,48.1788006,-110.1086399,25.0,17.0,0.68,0.0,0.0,0.0
Big Sky Medical Center,BIG SKY MEDICAL CENTER,271389,45.260304,-111.3007849,4.0,0.0,0.0,0.0,0.0,0.0
Big South Fork Medical Center,BIG SOUTH FORK MEDICAL CENTER,440235,36.5044494,-84.51591069999999,16.0,5.0,0.3125,0.0,0.0,0.0
Bigfork Valley Hospital,BIGFORK VALLEY HOSPITAL,241316,47.7476291,-93.6456534,8.0,6.3,0.7875,0.0,0.0,0.0
Broadwater Health Center,BILLINGS CLINIC BROADWATER,271333,46.3220461,-111.5162913,25.6,16.7,0.6523437499999999,0.0,0.0,0.0
Billings Clinic Hospital,BILLINGS CLINIC HOSPITAL,270004,45.78953689999999,-108.5129947,309.6,250.9,0.8104005167958656,28.0,26.3,0.9392857142857143
Bingham Memorial Hospital,BINGHAM MEMORIAL HOSPITAL,131325,43.1934744,-112.3473411,19.2,17.0,0.8854166666666667,5.0,4.7,0.9400000000000001
Marcus Daly Memorial Hospital ,BITTERROOT HEALTH - DALY HOSPITAL,271340,46.248255,-114.172039,18.6,14.1,0.7580645161290321,4.1,4.3,1.048780487804878
Black River Memorial Hospital,BLACK RIVER MEMORIAL HOSPITAL,521333,44.30328799999999,-90.8552205,25.0,16.3,0.652,0.0,0.0,0.0
Blake Medical Center,BLAKE MEDICAL CENTER,100213,27.4828573,-82.62386529999999,310.1,257.9,0.8316672041277006,45.4,45.1,0.9933920704845816
Blanchard Valley Hospital,BLANCHARD VALLEY HOSPITAL,360095,41.01785,-83.651653,150.0,114.6,0.764,52.0,34.4,0.6615384615384615
Bleckley Memorial Hospital,BLECKLEY MEMORIAL HOSPITAL,111302,32.3841718,-83.3457116,18.0,13.7,0.7611111111111111,0.0,0.0,0.0
Blessing Hospital,BLESSING HOSPITAL,140015,39.967474,-91.396785,307.0,235.6,0.7674267100977199,30.0,20.4,0.6799999999999999
Bliant Specialty Hospital,"BLIANT SPECIALTY HOSPITAL, LLC",192030,30.0706659,-89.94823769999999,21.0,0.0,0.0,0.0,0.0,0.0
Blount Memorial Hospital,BLOUNT MEMORIAL HOSPITAL,440011,35.7559386,-83.95803819999999,269.0,153.0,0.5687732342007435,32.0,14.0,0.4375
Blue Mountain Hospital,BLUE MOUNTAIN HOSPITAL,381305,44.417186,-118.9595551,6.0,4.9,0.8166666666666668,0.0,0.0,0.0
Blue Mountain Hospital,BLUE MOUNTAIN HOSPITAL,461310,37.6134925,-109.4815879,11.0,4.7,0.4272727272727273,0.0,0.0,0.0
Blue Ridge Regional Hospital,BLUE RIDGE REGIONAL HOSPITAL,341329,35.910967,-82.063088,38.0,11.4,0.3,6.0,4.1,0.6833333333333332
Bluegrass Community Hospital,BLUEGRASS COMMUNITY HOSPITAL,181308,38.0549001,-84.7233116,14.0,9.4,0.6714285714285715,0.0,0.0,0.0
Bluffton Hospital,BLUFFTON HOSPITAL,361322,40.8874222,-83.89740490000001,10.0,5.1,0.51,0.0,0.0,0.0
Bluffton Regional Medical Center,BLUFFTON REGIONAL MEDICAL CENTER,150075,40.7374106,-85.17114959999999,25.7,18.0,0.7003891050583658,0.0,0.0,0.0
Blythedale Children’s Hospital,BLYTHEDALE CHILDREN'S HOSPITAL,333301,41.0747317,-73.7997948,0.0,0.0,0.0,0.0,0.0,0.0
Baptist Memorial Hospital-Calhoun,BMH-CALHOUN,251331,33.8709077,-89.3183217,25.0,14.0,0.56,0.0,0.0,0.0
Baptist Memorial Hospital Golden Triangle ,BMH-GOLDEN TRIANGLE,250100,33.5254188,-88.4273631,286.0,130.7,0.45699300699300693,16.0,16.4,1.025
Bob Wilson Memorial Grant County Hospital,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,170110,37.584549,-101.358531,26.0,4.3,0.16538461538461538,0.0,0.0,0.0
Boca Raton Regional Hospital,BOCA RATON REGIONAL HOSPITAL,100168,26.3585783,-80.10220129999999,347.0,345.6,0.9959654178674352,40.0,32.1,0.8025
Bolivar Medical Center,BOLIVAR MEDICAL CENTER,250093,33.7487013,-90.70844950000001,69.6,45.3,0.6508620689655172,8.0,8.0,1.0
